plinder_pdb	plinder_chain	casf_pdb	casf_chain	pident	query_coverage	subject_coverage	alignment_length	query_length	subject_length	evalue	bitscore
1e6q	1e6q_M	2wbg	2wbg__chain0	34.0	95.2	98.0	479	499	443	1.54e-87	270.0
1e6x	1e6x_M	2wbg	2wbg__chain0	34.0	95.2	98.0	479	499	443	1.54e-87	270.0
1ere	1ere_A	2p15	2p15__chain1	97.1	99.6	99.2	240	235	242	1.87e-165	450.0
1f0v	1f0v_A	1o0h	1o0h__chain0	100.0	100.0	100.0	124	124	124	4.43e-90	250.0
1fa9	1fa9_A	3ebp	3ebp__chain0	80.0	98.7	99.8	823	834	810	0.0	1363.0
1fc0	1fc0_A	3ebp	3ebp__chain0	81.3	99.9	97.9	795	792	810	0.0	1343.0
1ffq	1ffq_A	3arp	3arp__chain0	51.7	98.5	98.6	574	540	574	1.43e-190	540.0
1fiw	1fiw_A	4ty7	4ty7__chain0	40.0	95.0	98.3	250	260	238	1.15e-53	167.0
1fiz	1fiz_A	4ty7	4ty7__chain0	38.9	93.9	98.3	247	263	238	1.79e-53	167.0
1fm6	1fm6_D	2yfe	2yfe__chain0	95.9	99.6	98.5	271	272	264	1.29e-180	491.0
1fmu	1fmu_A	3uri	3uri__chain0	30.4	93.2	92.7	316	322	328	4.98e-26	99.4
1fn8	1fn8_A	1k1i	1k1i__chain0	42.0	95.1	93.7	219	224	223	5.81e-40	130.0
1fy4	1fy4_A	1k1i	1k1i__chain0	42.0	95.1	93.7	219	224	223	5.81e-40	130.0
1g0e	1g0e_A	4jsz	4jsz__chain0	99.2	99.6	100.0	257	258	257	5.579999999999999e-197	531.0
1gdu	1gdu_A	1k1i	1k1i__chain0	42.0	95.1	93.7	219	224	223	5.81e-40	130.0
1gi0	1gi0_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1gi2	1gi2_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1gi3	1gi3_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1gi5	1gi5_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1gj9	1gj9_B	1owh	1owh__chain0	99.6	99.6	100.0	245	246	245	3.5e-194	523.0
1gpn	1gpn_A	1gpn	1gpn__chain0	100.0	100.0	100.0	529	529	529	0.0	1103.0
1gqr	1gqr_A	1e66	1e66__chain0	100.0	100.0	100.0	532	532	532	0.0	1108.0
1gs4	1gs4_A	3g0w	3g0w__chain0	97.6	100.0	99.6	248	244	249	6.620000000000001e-179	485.0
1gwx	1gwx_A	3b1m	3b1m__chain0	62.5	99.3	98.8	269	271	260	1.05e-120	339.0
1gz8	1gz8_A	1pxn	1pxn__chain0	99.0	100.0	100.0	294	291	294	4.42e-216	583.0
1h0s	1h0s_A	3n7a	3n7a__chain5	98.5	98.5	100.0	137	137	137	5.1499999999999995e-93	259.0
1hax	1hax_B	1k1i	1k1i__chain0	37.6	100.0	100.0	242	240	223	1.53e-41	135.0
1hj1	1hj1_A	2qe4	2qe4__chain0	59.9	99.5	98.1	207	204	207	3.33e-85	244.0
1hj9	1hj9_A	1k1i	1k1i__chain0	97.3	100.0	100.0	223	223	223	5.1e-160	435.0
1i44	1i44_A	3pyy	3pyy__chain0	39.3	91.1	95.5	272	282	265	8.81e-66	200.0
1ig1	1ig1_A	2wtv	2wtv__chain0	31.7	96.8	97.3	271	280	264	3.35e-42	139.0
1ir3	1ir3_A	3pyy	3pyy__chain0	40.3	90.1	95.5	273	303	265	3.4399999999999996e-68	207.0
1ize	1ize_A	2v00	2v00__chain0	57.9	99.4	100.0	330	323	330	6.08e-121	345.0
1j1b	1j1b_A	2fvd	2fvd__chain0	33.7	82.5	97.2	297	354	284	1.45e-50	164.0
1j2y	1j2y_A	2xb8	2xb8__chain0	38.8	84.8	92.9	134	158	141	4.3200000000000004e-29	98.2
1jf7	1jf7_A	1bzc	1bzc__chain0	99.3	100.0	94.6	281	281	297	2.49e-211	570.0
1jir	1jir_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1jqh	1jqh_A	3mss	3mss__chain0	44.4	89.7	94.7	268	291	264	3.5000000000000004e-70	212.0
1kak	1kak_A	1bzc	1bzc__chain0	99.3	100.0	100.0	297	297	297	1.0600000000000001e-223	602.0
1kav	1kav_A	1bzc	1bzc__chain0	99.3	100.0	100.0	297	297	297	1.0600000000000001e-223	602.0
1knu	1knu_A	2yfe	2yfe__chain0	98.5	100.0	99.2	265	265	264	3.5500000000000002e-183	497.0
1ksw	1ksw_A	3k5v	3k5v__chain0	48.3	58.4	92.3	265	450	286	9.48e-83	250.0
1kvl	1kvl_A	2r9w	2r9w__chain0	99.7	100.0	100.0	358	358	358	6.31e-274	734.0
1kyn	1kyn_B	1k1i	1k1i__chain0	34.1	99.6	99.6	229	225	223	1.04e-37	125.0
1l0g	1l0g_B	2r9w	2r9w__chain0	99.7	100.0	100.0	358	358	358	6.31e-274	734.0
1l2i	1l2i_B	4mgd	4mgd__chain1	97.9	100.0	98.7	233	231	236	1.13e-159	435.0
1l2j	1l2j_A	2p15	2p15__chain1	59.5	98.3	97.5	237	232	242	1.45e-94	271.0
1l5v	1l5v_A	3ebp	3ebp__chain0	44.7	95.9	94.3	777	796	810	4.1099999999999995e-236	674.0
1l5w	1l5w_A	3ebp	3ebp__chain0	44.7	95.9	94.3	777	796	810	4.1099999999999995e-236	674.0
1lp4	1lp4_A	4eor	4eor__chain0	32.6	89.0	96.6	301	327	294	1.95e-39	134.0
1m17	1m17_A	3mss	3mss__chain0	39.3	84.9	95.8	267	312	264	5.0699999999999994e-61	189.0
1m2z	1m2z_D	3b5r	3b5r__chain0	50.6	97.2	100.0	247	253	247	1.65e-90	261.0
1m52	1m52_B	3k5v	3k5v__chain0	99.6	100.0	94.8	272	272	286	2.49e-206	557.0
1maa	1maa_C	1e66	1e66__chain0	59.7	98.1	99.8	533	540	532	2.07e-246	680.0
1moo	1moo_A	4jsz	4jsz__chain0	99.2	100.0	99.6	256	256	257	6e-196	529.0
1mts	1mts_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1mtu	1mtu_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1mtv	1mtv_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1mtw	1mtw_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1n2b	1n2b_A	3ivg	3ivg__chain0	100.0	100.0	99.7	286	286	287	3.86e-182	496.0
1n2e	1n2e_A	3coz	3coz__chain0	100.0	100.0	100.0	288	288	288	6.44e-184	501.0
1n2g	1n2g_A	4ddh	4ddh__chain0	100.0	100.0	100.0	289	289	289	2.43e-184	502.0
1n2h	1n2h_A	3coz	3coz__chain0	100.0	100.0	100.0	288	288	288	6.44e-184	501.0
1n2i	1n2i_A	3ivg	3ivg__chain0	100.0	100.0	99.7	286	286	287	3.86e-182	496.0
1n2j	1n2j_A	3ivg	3ivg__chain0	100.0	100.0	100.0	287	287	287	6.95e-183	498.0
1n9b	1n9b_A	4de2	4de2__chain0	41.0	94.0	95.0	249	265	260	3.18e-60	185.0
1nde	1nde_A	2qe4	2qe4__chain0	59.4	91.8	98.6	212	231	207	4.85e-87	250.0
1nxy	1nxy_A	4de2	4de2__chain0	40.0	96.6	96.9	255	263	260	2.67e-58	180.0
1nym	1nym_A	4de2	4de2__chain0	40.0	96.6	96.9	255	263	260	2.67e-58	180.0
1o2i	1o2i_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1o31	1o31_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1o3n	1o3n_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1o3o	1o3o_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1o5d	1o5d_H	1mq6	1mq6__chain0	39.0	94.5	100.0	241	254	233	5.88e-65	196.0
1o6k	1o6k_A	1q8t	1q8t__chain0	43.0	92.1	85.0	293	318	341	6.82e-88	261.0
1o6l	1o6l_A	1ydr	1ydr__chain0	43.0	92.4	86.3	293	317	336	3.2000000000000002e-87	259.0
1o9u	1o9u_A	4eor	4eor__chain0	34.3	83.4	97.3	300	350	294	3.09e-51	166.0
1odc	1odc_A	1h22	1h22__chain0	100.0	100.0	100.0	529	529	529	0.0	1101.0
1odw	1odw_A	1g2k	1g2k__chain0	99.0	100.0	100.0	99	99	99	2.45e-73	206.0
1odx	1odx_A	1g2k	1g2k__chain0	98.0	100.0	100.0	99	99	99	2.0200000000000002e-72	204.0
1oew	1oew_A	3uri	3uri__chain0	100.0	99.4	100.0	328	330	328	1.0199999999999998e-228	618.0
1ook	1ook_A	2zda	2zda__chain0	100.0	80.6	100.0	29	36	29	1.46e-17	60.8
1opj	1opj_A	3k5v	3k5v__chain0	99.7	100.0	100.0	287	287	286	3.4e-217	585.0
1opk	1opk_A	3k5v	3k5v__chain0	99.3	62.8	98.3	282	449	286	5.22e-210	574.0
1opl	1opl_A	3k5v	3k5v__chain0	98.9	62.5	98.3	282	451	286	2.29e-209	572.0
1ozq	1ozq_A	3rr4	3rr4__chain0	98.7	100.0	100.0	372	372	368	3.67e-270	726.0
1p0b	1p0b_A	3gc5	3gc5__chain0	99.5	100.0	100.0	369	369	368	9.710000000000001e-272	730.0
1p0e	1p0e_A	1s38	1s38__chain0	98.9	99.7	100.0	365	363	364	5.77e-266	715.0
1p0p	1p0p_A	1e66	1e66__chain0	53.2	100.0	98.9	526	522	532	1.12e-219	611.0
1p1u	1p1u_A	1p1n	1p1n__chain0	100.0	100.0	100.0	258	258	258	3.5999999999999996e-191	517.0
1p1w	1p1w_A	1p1n	1p1n__chain0	99.6	100.0	100.0	258	258	258	1.4699999999999999e-190	515.0
1p4f	1p4f_A	2wtv	2wtv__chain0	32.0	97.4	97.3	269	269	264	1.9e-41	137.0
1p5e	1p5e_B	4eor	4eor__chain1	100.0	99.6	100.0	257	258	257	4.23e-192	519.0
1pkd	1pkd_B	4eor	4eor__chain1	100.0	99.6	100.0	257	258	257	4.23e-192	519.0
1psa	1psa_A	3uri	3uri__chain0	30.1	96.3	95.1	329	326	328	5.64e-27	102.0
1pso	1pso_E	3uri	3uri__chain0	30.8	96.3	95.1	331	326	328	4.26e-28	105.0
1pyx	1pyx_A	2fvd	2fvd__chain0	34.4	82.5	97.2	291	343	284	7.65e-51	164.0
1q2p	1q2p_A	4de2	4de2__chain0	41.4	94.0	95.0	249	265	260	5.63e-61	187.0
1q2r	1q2r_A	3rr4	3rr4__chain0	98.9	98.9	100.0	372	376	368	3.69e-271	729.0
1q2s	1q2s_A	3rr4	3rr4__chain0	98.9	98.9	100.0	372	376	368	3.69e-271	729.0
1q6n	1q6n_A	1bzc	1bzc__chain0	99.3	98.3	95.6	284	289	297	3.59e-213	575.0
1q84	1q84_A	1e66	1e66__chain0	59.5	98.9	99.4	531	536	532	2.38e-244	674.0
1qkm	1qkm_A	2p15	2p15__chain1	59.5	98.3	97.5	237	230	242	1.16e-95	273.0
1qy8	1qy8_A	2yki	2yki__chain0	54.4	91.6	97.1	206	225	207	1.17e-71	211.0
1r20	1r20_A	2qe4	2qe4__chain1	30.0	74.1	84.3	180	239	204	3.9e-21	81.6
1r5k	1r5k_A	2p15	2p15__chain0	98.7	100.0	97.9	237	236	242	3.37e-166	452.0
1rcj	1rcj_A	4de2	4de2__chain0	41.0	94.0	95.0	249	265	260	8.97e-60	184.0
1rj6	1rj6_A	4jsz	4jsz__chain0	35.4	99.6	99.6	263	259	257	6.37e-45	145.0
1rl8	1rl8_A	1g2k	1g2k__chain0	98.0	100.0	100.0	99	99	99	4.08e-72	203.0
1s5s	1s5s_A	1k1i	1k1i__chain0	82.1	100.0	100.0	223	223	223	8.57e-143	392.0
1s6h	1s6h_A	1k1i	1k1i__chain0	82.1	100.0	100.0	223	223	223	8.57e-143	392.0
1s7y	1s7y_B	3gbb	3gbb__chain0	87.3	100.0	98.0	251	251	255	8.480000000000001e-167	455.0
1s83	1s83_A	1k1i	1k1i__chain0	82.1	100.0	100.0	223	223	223	8.57e-143	392.0
1s9p	1s9p_D	4mgd	4mgd__chain1	37.6	98.7	94.9	226	225	236	2.4899999999999998e-45	145.0
1s9q	1s9q_A	4mgd	4mgd__chain1	37.6	98.7	94.9	226	224	236	1.07e-43	140.0
1sd3	1sd3_A	3gbb	3gbb__chain0	87.3	100.0	98.0	251	251	255	8.480000000000001e-167	455.0
1sgu	1sgu_A	1g2k	1g2k__chain0	89.9	100.0	100.0	99	99	99	1.3199999999999998e-68	194.0
1sp5	1sp5_A	1g2k	1g2k__chain0	100.0	100.0	100.0	99	99	99	1.7200000000000002e-73	206.0
1t48	1t48_A	1bzc	1bzc__chain0	97.3	99.7	100.0	297	292	297	3.11e-217	586.0
1t49	1t49_A	1bzc	1bzc__chain0	99.3	99.6	94.6	281	282	297	2.59e-211	570.0
1t4j	1t4j_A	1bzc	1bzc__chain0	99.3	99.6	94.6	281	282	297	2.59e-211	570.0
1t5z	1t5z_A	3g0w	3g0w__chain0	100.0	99.6	100.0	249	250	249	2.4499999999999997e-187	506.0
1t63	1t63_A	3g0w	3g0w__chain0	100.0	99.6	100.0	249	250	249	2.4499999999999997e-187	506.0
1t65	1t65_A	3g0w	3g0w__chain0	100.0	99.2	100.0	249	251	249	1.26e-187	507.0
1t73	1t73_A	3g0w	3g0w__chain0	100.0	99.6	100.0	249	250	249	2.4499999999999997e-187	506.0
1t74	1t74_A	3g0w	3g0w__chain0	100.0	100.0	100.0	249	249	249	2.35e-187	506.0
1t76	1t76_A	3g0w	3g0w__chain0	100.0	100.0	100.0	249	249	249	2.35e-187	506.0
1t7m	1t7m_A	3g0w	3g0w__chain0	100.0	100.0	100.0	249	249	249	2.35e-187	506.0
1t7t	1t7t_A	3g0w	3g0w__chain0	100.0	99.6	100.0	249	250	249	2.4499999999999997e-187	506.0
1tdg	1tdg_A	4de2	4de2__chain0	41.0	94.0	95.0	249	265	260	4.49e-60	185.0
1tdl	1tdl_A	4de2	4de2__chain0	41.0	94.0	95.0	249	265	260	4.49e-60	185.0
1tio	1tio_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1tq9	1tq9_A	1o0h	1o0h__chain0	81.5	100.0	100.0	124	124	124	1.5300000000000001e-72	206.0
1tx8	1tx8_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1txf	1txf_A	4dld	4dld__chain1	100.0	99.6	97.6	248	249	254	5.46e-185	501.0
1tzs	1tzs_A	3uri	3uri__chain0	33.0	95.0	93.6	321	322	328	7.79e-29	107.0
1u0z	1u0z_B	2yki	2yki__chain0	53.7	88.9	97.1	201	226	207	1.5e-72	213.0
1u2o	1u2o_A	2yki	2yki__chain0	51.7	88.5	97.1	203	226	207	8.559999999999999e-67	199.0
1u4d	1u4d_B	3mss	3mss__chain0	42.0	93.5	91.7	250	262	264	1.7899999999999999e-62	191.0
1u54	1u54_B	3pyy	3pyy__chain0	41.4	94.3	92.5	251	261	265	7.14e-62	189.0
1uki	1uki_A	4f9w	4f9w__chain0	49.6	99.1	97.3	335	328	336	4.39e-106	307.0
1unh	1unh_A	4eor	4eor__chain0	58.7	99.3	95.6	283	277	294	2.05e-113	322.0
1ut6	1ut6_A	1h23	1h23__chain0	100.0	100.0	100.0	528	528	528	0.0	1100.0
1uwj	1uwj_B	4hge	4hge__chain0	30.5	92.0	93.7	282	263	286	3.92e-27	100.0
1uyq	1uyq_A	2j78	2j78__chain0	47.4	98.7	99.3	445	447	443	1.18e-155	442.0
1v03	1v03_A	2wbg	2wbg__chain0	37.6	95.7	96.8	468	487	443	1.29e-102	308.0
1v08	1v08_A	2j78	2j78__chain0	36.4	95.9	96.6	473	491	443	3.08e-95	289.0
1w4l	1w4l_A	1gpk	1gpk__chain0	100.0	100.0	100.0	529	529	529	0.0	1102.0
1w6r	1w6r_A	1h23	1h23__chain0	100.0	100.0	100.0	528	528	528	0.0	1100.0
1w8b	1w8b_H	1mq6	1mq6__chain0	39.0	94.3	100.0	241	247	233	4.82e-62	188.0
1w8c	1w8c_A	1pxn	1pxn__chain0	99.0	100.0	100.0	294	291	294	4.42e-216	583.0
1w9b	1w9b_M	2wbg	2wbg__chain0	34.0	95.2	98.0	479	499	443	1.54e-87	270.0
1w9d	1w9d_M	2wbg	2wbg__chain0	34.0	95.2	98.0	479	499	443	1.54e-87	270.0
1wbk	1wbk_A	1g2k	1g2k__chain0	100.0	100.0	100.0	99	99	99	1.7200000000000002e-73	206.0
1wbm	1wbm_A	1g2k	1g2k__chain0	100.0	100.0	100.0	99	99	99	1.7200000000000002e-73	206.0
1wm0	1wm0_X	2yfe	2yfe__chain0	97.8	98.5	99.6	268	272	264	1.64e-183	498.0
1wv7	1wv7_H	1mq6	1mq6__chain0	39.0	94.5	100.0	241	254	233	5.88e-65	196.0
1x6n	1x6n_A	3arp	3arp__chain0	51.6	98.7	98.6	574	539	574	1.96e-190	539.0
1xdk	1xdk_A	2qe4	2qe4__chain0	33.5	76.5	80.2	170	217	207	6.680000000000001e-22	83.2
1xiu	1xiu_A	2qe4	2qe4__chain0	30.6	75.1	80.2	170	221	207	3.98e-20	78.6
1xl2	1xl2_A	1g2k	1g2k__chain0	100.0	100.0	100.0	99	99	99	1.7200000000000002e-73	206.0
1xl5	1xl5_A	1g2k	1g2k__chain0	100.0	100.0	100.0	99	99	99	1.7200000000000002e-73	206.0
1xls	1xls_A	2p15	2p15__chain1	32.8	80.2	80.2	195	232	242	6.3299999999999995e-25	92.4
1xnn	1xnn_A	3g0w	3g0w__chain0	99.6	100.0	99.2	247	247	249	1.7100000000000002e-184	499.0
1xq3	1xq3_A	1z95	1z95__chain0	98.8	98.8	100.0	240	243	238	2.27e-174	473.0
1xr1	1xr1_A	4k18	4k18__chain0	100.0	100.0	100.0	277	277	277	3.66e-214	577.0
1xuf	1xuf_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1xuh	1xuh_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1xuj	1xuj_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1xvm	1xvm_A	1k1i	1k1i__chain0	42.0	95.1	93.7	219	224	223	5.81e-40	130.0
1xvp	1xvp_A	2p15	2p15__chain1	32.8	80.2	80.2	195	232	242	6.3299999999999995e-25	92.4
1y0s	1y0s_A	3u9q	3u9q__chain0	63.4	98.8	99.2	262	260	257	1.38e-117	331.0
1y3u	1y3u_A	1k1i	1k1i__chain0	100.0	100.0	100.0	223	223	223	4.94e-167	453.0
1y59	1y59_T	1k1i	1k1i__chain0	99.1	100.0	100.0	223	223	223	5.77e-166	450.0
1y5a	1y5a_T	1k1i	1k1i__chain0	99.1	100.0	100.0	223	223	223	5.77e-166	450.0
1y5b	1y5b_T	1k1i	1k1i__chain0	99.1	100.0	100.0	223	223	223	5.77e-166	450.0
1y5u	1y5u_T	1k1i	1k1i__chain0	99.1	100.0	100.0	223	223	223	5.77e-166	450.0
1y5v	1y5v_A	3ge7	3ge7__chain0	99.4	100.0	99.7	360	360	359	8.55e-266	714.0
1y5w	1y5w_A	3ge7	3ge7__chain0	99.7	100.0	99.7	358	357	359	4.38e-265	712.0
1y5x	1y5x_A	3gc5	3gc5__chain0	99.5	100.0	99.7	368	367	368	1.2200000000000001e-269	724.0
1y8y	1y8y_A	1pxn	1pxn__chain0	99.0	100.0	100.0	294	292	294	9.299999999999999e-216	582.0
1y9r	1y9r_A	3b5r	3b5r__chain0	54.1	97.9	98.0	242	239	247	4.28e-87	252.0
1ya3	1ya3_A	3b5r	3b5r__chain0	53.3	98.3	98.0	242	233	247	1.2099999999999999e-82	241.0
1ya8	1ya8_A	1gpn	1gpn__chain0	36.0	99.2	98.5	550	532	529	1.2e-84	266.0
1yae	1yae_E	3gbb	3gbb__chain0	86.5	97.3	98.4	252	257	255	5.9700000000000004e-164	448.0
1yaj	1yaj_A	1gpn	1gpn__chain0	36.0	99.2	98.5	550	532	529	1.2e-84	266.0
1yc3	1yc3_A	1yc1	1yc1__chain0	100.0	97.7	99.5	209	214	210	4.24e-149	407.0
1ycj	1ycj_B	3gbb	3gbb__chain0	100.0	99.6	100.0	255	256	255	2.55e-192	520.0
1ygc	1ygc_H	1mq6	1mq6__chain0	39.0	94.5	100.0	241	254	233	5.88e-65	196.0
1ypk	1ypk_H	1oyt	1oyt__chain1	100.0	100.0	100.0	250	250	250	3.78e-198	534.0
1ypl	1ypl_H	1oyt	1oyt__chain1	100.0	100.0	100.0	250	250	250	3.78e-198	534.0
1ysz	1ysz_A	2yki	2yki__chain0	51.7	92.2	97.1	203	217	207	2.1799999999999998e-67	200.0
1yth	1yth_A	3o9i	3o9i__chain0	99.0	100.0	100.0	99	99	99	6.01e-74	207.0
1yti	1yti_A	3o9i	3o9i__chain0	51.5	100.0	100.0	99	99	99	9.600000000000001e-37	114.0
1ytj	1ytj_A	3o9i	3o9i__chain0	51.5	100.0	100.0	99	99	99	9.600000000000001e-37	114.0
1yvf	1yvf_A	4ih5	4ih5__chain0	95.4	99.5	99.8	561	564	557	0.0	1079.0
1ywn	1ywn_A	3mss	3mss__chain0	37.3	97.2	98.5	279	281	264	8.500000000000001e-57	177.0
1yxt	1yxt_A	3jya	3jya__chain0	100.0	100.0	100.0	274	274	274	1.9600000000000002e-212	572.0
1z4u	1z4u_A	4ih5	4ih5__chain0	95.4	99.5	99.8	561	564	557	0.0	1079.0
1z5n	1z5n_A	1nc1	1nc1__chain0	99.6	100.0	100.0	234	234	234	9.87e-168	456.0
1z5o	1z5o_A	1nc3	1nc3__chain0	99.6	100.0	100.0	235	235	235	5.2799999999999995e-168	456.0
1z5x	1z5x_U	2qe4	2qe4__chain0	34.1	86.0	80.2	170	193	207	1.66e-24	89.4
1z8d	1z8d_A	3ebp	3ebp__chain0	95.2	98.8	100.0	819	821	810	0.0	1576.0
1zgb	1zgb_A	1h23	1h23__chain0	100.0	100.0	100.0	528	528	528	0.0	1100.0
1zgc	1zgc_A	1h23	1h23__chain0	100.0	100.0	100.0	528	528	528	0.0	1100.0
1zgf	1zgf_A	4jsz	4jsz__chain0	99.6	100.0	99.6	256	256	257	5.35e-199	536.0
1zgy	1zgy_A	2yfe	2yfe__chain0	95.9	99.6	98.5	271	272	264	1.29e-180	491.0
1zh9	1zh9_A	4jsz	4jsz__chain0	98.8	100.0	99.6	256	256	257	3.6199999999999995e-197	532.0
1zos	1zos_A	4f3c	4f3c__chain0	41.9	99.6	99.6	229	230	230	6.94e-62	187.0
1zsj	1zsj_A	4cr9	4cr9__chain0	100.0	100.0	100.0	238	238	238	5.789999999999999e-187	504.0
1zsk	1zsk_A	4cr9	4cr9__chain0	100.0	100.0	100.0	238	238	238	5.789999999999999e-187	504.0
1zvw	1zvw_A	3qqs	3qqs__chain0	100.0	100.0	100.0	346	346	346	8.87e-243	655.0
1zw9	1zw9_A	2fxs	2fxs__chain0	96.7	100.0	100.0	213	206	213	4.11e-141	386.0
1zxy	1zxy_A	3r88	3r88__chain0	31.4	85.5	86.6	299	344	344	2.65e-44	149.0
1zyk	1zyk_C	3r88	3r88__chain0	31.4	85.7	86.6	299	343	344	2.59e-44	149.0
2a2q	2a2q_H	1mq6	1mq6__chain0	39.0	94.5	100.0	241	254	233	5.88e-65	196.0
2a31	2a31_A	1k1i	1k1i__chain0	82.1	100.0	100.0	223	223	223	8.57e-143	392.0
2a32	2a32_A	1k1i	1k1i__chain0	82.1	100.0	100.0	223	223	223	8.57e-143	392.0
2a3e	2a3e_B	3arp	3arp__chain0	30.8	86.8	71.8	419	394	574	9.869999999999999e-48	164.0
2a3i	2a3i_A	3b5r	3b5r__chain0	52.9	95.7	98.0	242	253	247	5.41e-89	258.0
2a3u	2a3u_A	4de2	4de2__chain0	41.0	94.0	95.0	249	265	260	8.97e-60	184.0
2a65	2a65_A	3f3c	3f3c__chain0	100.0	99.8	100.0	509	510	509	0.0	1004.0
2a86	2a86_A	3coz	3coz__chain0	100.0	100.0	100.0	288	288	288	6.44e-184	501.0
2aa2	2aa2_A	1z95	1z95__chain0	53.2	94.0	98.3	237	252	238	5.93e-86	249.0
2aa5	2aa5_A	3b5r	3b5r__chain0	54.3	92.5	98.0	243	255	247	3.34e-88	256.0
2aa7	2aa7_A	1z95	1z95__chain0	53.4	94.1	98.3	238	253	238	1.2400000000000001e-85	249.0
2aax	2aax_A	3b5r	3b5r__chain0	53.3	92.3	98.0	242	261	247	2.93e-88	256.0
2ab2	2ab2_B	3b5r	3b5r__chain0	53.3	93.1	98.0	242	259	247	8.29e-90	260.0
2abi	2abi_B	3b5r	3b5r__chain0	53.7	98.3	98.0	242	234	247	6.27e-83	241.0
