pid,kind,y_true,y_pred
2uwo,Ki,8.7000,6.8667
2uwp,Ki,6.8100,6.6315
2v2c,Ki,3.4100,3.7189
2v2h,Ki,3.7700,3.7490
2vc9,Kd,8.4400,5.7702
2vcb,Kd,5.2600,6.6670
2vkm,Ki,8.7400,8.3964
2vvc,Ki,8.5200,7.5845
2vvn,Kd,7.3000,6.3697
2vvs,Ki,7.3400,6.0111
2w26,Ki,9.4000,7.0309
2w66,Ki,4.0500,5.9040
2w67,Ki,4.9600,5.5276
2w8f,Ki,6.3000,6.5610
2w8g,Ki,6.0000,7.7002
2w9h,Kd,6.3700,6.6405
2wb5,Ki,9.1300,7.1671
2wd7,Ki,4.9700,4.2596
2wn9,Kd,8.5200,5.8725
2wnc,Kd,6.3200,6.0333
2wnj,Kd,6.4800,6.1189
2wnl,Kd,6.0000,4.0212
2wtv,Ki,8.7400,7.8628
2wtw,Kd,8.1900,7.8324
2x00,Kd,11.3300,6.8158
2xab,Kd,9.2700,6.7801
2xah,Ki,3.5500,11.8687
2xaj,Ki,3.7700,11.5604
2xaq,Ki,5.9600,11.7864
2xas,Ki,5.8900,12.9665
2xde,Kd,5.4700,5.6318
2xdk,Kd,3.6000,4.7786
2xdl,Kd,3.1000,5.2913
2xdx,Kd,6.4600,6.0953
2xhr,Kd,8.3200,7.3749
2xht,Kd,5.9600,6.1703
2xhx,Kd,6.6000,6.3191
2xj1,Kd,7.5500,6.5698
2xj2,Kd,7.1800,6.5241
2xjg,Kd,7.8200,6.9295
2xjj,Kd,6.5100,6.6687
2xjx,Kd,9.1500,6.9184
2xm1,Kd,5.0700,5.5801
2xm2,Ki,4.6200,5.6461
2xmy,Ki,9.9600,7.5995
2xnb,Ki,6.8300,7.9745
2xpk,Ki,11.3000,7.7415
2xys,Ki,7.4200,7.2590
2xyt,Ki,6.2900,8.5064
2xz5,Ki,4.0100,4.3811
2y54,Kd,4.7000,4.6707
2y56,Kd,6.5100,5.3607
2y57,Kd,6.8900,6.7212
2y58,Kd,5.5000,6.1307
2y8l,Kd,5.8200,6.0660
2y8q,Kd,5.8200,5.7862
2y9q,Kd,6.1500,6.2221
2ygf,Kd,5.0900,6.4719
2yi5,Kd,7.4100,6.3134
2yix,Kd,8.4800,7.6031
2yk1,Kd,8.1300,6.0309
2yki,Kd,9.4600,9.3470
2yme,Kd,7.6600,6.0084
2z6w,Kd,7.8700,7.1959
2zaz,Ki,6.4000,6.7340
2zb0,Ki,6.6200,7.9359
2zb1,Kd,6.3200,6.5479
2zc9,Ki,6.7400,7.3861
2zda,Ki,8.4000,7.3963
2zdk,Kd,6.3700,6.0434
2zdl,Kd,6.4000,5.6900
2zdm,Kd,6.4100,5.9538
2zdn,Kd,6.2500,5.8577
2zfp,Ki,5.1700,6.7833
2zfs,Kd,6.5400,5.8977
2zft,Kd,6.5200,5.5796
2zgx,Ki,6.7400,6.8574
2zhd,Kd,6.5400,6.3435
2zju,Kd,5.8100,5.3982
2zjv,Kd,5.1400,4.9326
2zmd,Kd,7.0100,5.4746
2zq1,Kd,6.6200,5.7649
2zq2,Kd,6.5600,6.0064
3a2c,Ki,6.9000,6.8130
3ag9,Ki,8.0500,7.5253
3agl,Ki,7.8000,8.7421
3agm,Ki,9.0900,9.0294
3ama,Ki,6.5300,7.4806
3amb,Ki,6.1800,7.9684
3anq,Ki,6.7400,6.2653
3axz,Kd,3.4300,5.7244
3ay0,Kd,3.0400,5.5881
3b24,Kd,4.3800,4.9816
3b25,Kd,6.0700,7.0149
3b26,Kd,6.6400,6.7901
3b27,Kd,5.1600,5.9498
3b28,Kd,8.4700,7.2367
3bex,Kd,5.5700,4.4773
3bf1,Kd,2.5200,4.9227
3bft,Ki,6.4900,5.2656
3bfu,Ki,6.2700,5.4344
3bgq,Ki,7.9600,7.7121
3bgz,Ki,6.2600,6.9734
3bmn,Ki,4.4600,4.1302
3bmo,Ki,5.2700,5.5183
3bmq,Ki,5.4900,5.2613
3bv9,Ki,5.3600,6.9530
3bwj,Kd,6.5000,7.6800
3c39,Kd,3.9600,4.4269
3c49,Kd,7.1500,6.4865
3c4h,Kd,5.7000,5.2351
3c79,Kd,7.2000,5.3221
3c84,Kd,7.8500,5.7616
3ce0,Kd,6.1500,5.7918
3cen,Ki,8.2600,7.9657
3cfn,Kd,5.0000,5.4210
3ckp,Ki,6.3500,7.0130
3ckr,Ki,5.3000,7.6194
3ckz,Ki,8.7200,7.3521
3cl0,Ki,7.0700,6.1894
3cl2,Ki,7.5900,6.4691
3cow,Kd,6.9000,7.5410
3coy,Kd,6.0200,7.3688
3coz,Kd,5.5700,6.8400
3cs7,Ki,10.6800,8.7894
3d7z,Ki,7.9200,7.2195
3d83,Ki,8.3600,8.8718
3d94,Ki,6.8000,10.3348
3d9v,Ki,8.2200,7.8133
3da9,Kd,5.5100,5.8653
3dnd,Ki,4.8000,5.6188
3dne,Ki,5.2200,6.9070
3dux,Ki,7.0000,7.6743
3e64,Kd,7.1100,7.1537
3e92,Ki,8.0000,7.9265
3e93,Ki,8.8500,9.8624
3ebo,Ki,4.7200,4.9113
3ebp,Ki,5.9100,5.5817
3egk,Ki,4.6600,7.1748
3eig,Ki,7.6800,7.5154
3eko,Ki,6.7000,5.3232
3ekr,Ki,7.5200,6.0697
3emg,Ki,8.0500,7.8659
3f0r,Ki,6.8900,5.3172
3f68,Ki,5.0600,7.8919
3faa,Ki,8.1500,8.5250
3fat,Kd,7.6400,5.7052
3ffg,Ki,9.0800,9.1005
3fhb,Kd,5.7000,3.9480
3fmz,Ki,8.0800,8.1810
3fqe,Ki,8.3000,7.7609
3g2v,Kd,6.5200,5.0794
3g90,Ki,6.3600,6.6652
3g9n,Ki,5.7400,7.6652
3gfw,Kd,7.5700,7.7582
3gjw,Ki,8.3000,5.9907
3gn7,Ki,8.3000,5.9921
3gs6,Ki,6.5900,5.5714
3gsm,Ki,6.4800,5.1569
3gvu,Kd,8.0000,9.3041
3gy2,Kd,5.7400,5.6405
3gy3,Kd,5.6300,6.0647
3gy4,Kd,5.1000,4.1990
3hl7,Ki,7.6400,7.2397
3hmo,Kd,7.5200,7.1212
3hmp,Kd,5.4900,5.4061
3hrf,Kd,4.9900,5.2390
3huc,Kd,5.9900,6.3532
3i25,Ki,8.5100,9.8504
3i4b,Ki,8.1500,8.3886
3i5z,Ki,8.7000,7.8436
3i60,Ki,8.7000,7.9830
3imc,Kd,2.9600,4.8165
3ime,Kd,3.0000,4.9203
3img,Kd,2.9600,4.7309
3io7,Ki,7.7700,7.9684
3iob,Kd,3.4200,6.3542
3ioc,Kd,3.6800,6.9142
3iod,Kd,4.1000,7.7314
3ioe,Kd,3.2700,7.0139
3iok,Ki,7.9600,8.2814
3iph,Ki,7.6000,7.2407
3iub,Kd,4.5400,6.5424
3iue,Kd,5.8200,7.0743
3ivc,Kd,4.1200,7.1075
3ivg,Kd,4.3000,6.6961
3ivx,Kd,5.7400,7.3496
3jq7,Ki,5.9200,6.0833
3jq8,Ki,4.4600,4.5956
3jq9,Ki,6.4000,5.8469
3jqa,Ki,4.4600,4.0134
3jqb,Ki,6.0200,5.6195
3jqf,Ki,4.4600,3.6942
3jqg,Ki,4.7400,5.6993
3jvr,Ki,5.7200,5.0610
3jvs,Kd,6.5400,5.4330
3jxw,Ki,9.0000,7.2264
3jy0,Ki,8.3000,7.1853
3jy9,Ki,9.0000,7.8494
3jya,Ki,6.8900,6.1611
3k41,Kd,0.8200,4.7652
3k5v,Kd,6.3000,6.7924
3k97,Ki,8.0000,6.4104
3k98,Kd,9.0000,6.3872
3k99,Ki,7.2200,5.5390
3kcf,Ki,7.4600,8.8084
3kgu,Kd,5.9200,4.7475
3khv,Ki,1.8500,4.5626
3kjd,Kd,8.5400,5.4504
3kqb,Ki,9.3000,9.3373
3kqc,Ki,8.6600,9.4468
3kqd,Ki,9.4000,9.6160
3kqe,Ki,8.0900,9.3891
3kr8,Kd,8.1000,6.5964
3l1s,Ki,8.7000,7.3719
3l3l,Ki,7.4800,5.3421
3l3m,Ki,8.2200,6.9090
3lbl,Ki,7.4400,7.2633
3ldq,Ki,5.3600,6.1226
3le8,Kd,6.0700,6.4924
3lhj,Kd,9.5100,7.7413
3liw,Ki,7.6000,8.3219
3ljj,Kd,6.5200,5.5691
3ljo,Kd,6.6200,5.9261
3m35,Ki,7.2200,7.0809
3m36,Ki,9.8200,8.1163
3m37,Ki,9.0400,8.1827
3miy,Kd,7.6800,6.7227
3mj1,Kd,7.8200,7.2625
3ms9,Kd,5.2200,5.2507
3mss,Kd,4.6600,5.5748
3myg,Kd,10.7000,6.5469
3n0h,Ki,6.2100,7.1373
3n1c,Kd,5.2200,5.1153
3nex,Kd,6.0000,6.3595
3nga,Kd,8.0000,7.5812
3nk8,Kd,3.0000,4.4931
3nkk,Kd,4.7000,4.7910
3nmq,Ki,9.7000,8.6250
3nsn,Ki,7.1900,5.9014
3nyn,Kd,6.0000,5.2216
3o2m,Kd,4.8000,6.0805
3oaf,Ki,8.8000,6.8628
3oap,Kd,6.2600,6.6187
3ozj,Kd,5.1100,5.9017
3ozp,Ki,6.6200,6.3228
3p17,Ki,4.4800,6.4939
3pd2,Kd,5.4700,5.9255
3pd3,Kd,4.4400,6.3531
3pd4,Kd,4.4800,5.8274
3pe1,Ki,9.6500,8.0922
3po1,Kd,4.0200,6.0031
3pqz,Kd,4.4600,7.3970
3pxq,Kd,4.4300,6.4854
3pyy,Kd,6.8600,6.4616
3qdd,Ki,8.7700,8.1161
3qem,Kd,7.2200,6.2958
3qfy,Ki,6.1200,5.4384
3qfz,Ki,3.2400,5.0184
3qgw,Ki,5.8900,6.6427
3qgy,Ki,7.8000,7.6930
3qto,Ki,4.1300,6.9530
3qtv,Ki,4.6500,7.1649
3que,Kd,8.8200,7.1654
3qwc,Ki,4.2600,6.8093
3qx5,Ki,4.2000,7.7378
3r4m,Ki,5.9200,5.4743
3r4n,Ki,6.8900,6.4580
3r4o,Ki,8.1500,7.4240
3r4p,Ki,7.9600,7.6359
3r5m,Kd,4.3400,6.2676
3rlp,Kd,7.0800,6.3761
3rlq,Ki,7.4000,7.2708
3rlr,Ki,7.5200,7.8392
3roc,Ki,8.1900,7.4656
3rsx,Kd,4.4100,5.0684
3rth,Kd,5.2100,6.0580
3rtm,Kd,4.4200,5.5927
3rwp,Ki,9.2200,8.2051
3rwq,Ki,7.4600,7.5371
3s3v,Ki,6.2300,6.9772
3s6t,Ki,7.3500,5.3686
3s74,Kd,8.4000,3.9064
3sha,Ki,5.5900,6.6432
3shc,Ki,5.7200,7.3048
3si3,Ki,4.1600,6.4425
3si4,Ki,3.8800,6.7440
3sur,Ki,4.1500,6.3951
3sus,Ki,4.1500,6.5406
3sut,Ki,7.8500,6.7419
3suu,Ki,8.5200,6.8183
3suv,Ki,4.5500,6.2726
3suw,Ki,4.7000,6.2639
3sv2,Ki,4.1900,6.6769
3tdh,Kd,4.2600,5.1851
3te5,Kd,4.9100,5.7892
3tu1,Ki,6.6000,7.1834
3tu7,Ki,8.0900,7.6209
3tzm,Ki,7.7700,8.6226
3u8j,Ki,8.5100,6.1387
3u8k,Ki,8.6600,6.3998
3u8l,Ki,8.0500,6.6155
3u9n,Kd,7.0000,7.0473
3udh,Kd,2.8500,4.2469
3ug2,Kd,8.2500,7.0514
3unz,Kd,7.8000,6.4752
3uo4,Kd,6.5200,6.3619
3uo5,Kd,7.4100,5.6678
3uo6,Kd,7.8200,5.7903
3uod,Kd,7.3100,5.9445
3uoj,Kd,7.2900,6.4203
3up2,Kd,7.4000,6.0665
3uvk,Kd,6.8000,6.3405
3uvw,Kd,5.1700,5.4618
3uvx,Kd,4.3400,5.1894
3v3b,Kd,7.2600,7.4841
3vha,Kd,7.4000,6.6581
3vhc,Kd,8.8900,6.8093
3vhd,Kd,9.2800,6.4358
3vtr,Ki,5.5700,5.4151
3wb4,Kd,4.4400,4.8213
3wb5,Kd,4.5700,4.9969
3wha,Kd,9.3200,6.9444
3wth,Kd,6.2900,5.1923
3wti,Kd,5.9000,4.6568
3wtj,Kd,6.5300,5.5222
3wtl,Kd,7.0400,5.3329
3wtm,Kd,7.0000,5.3685
3wtn,Kd,7.0400,5.3539
3wto,Kd,6.9200,5.5805
3x1k,Kd,3.5900,5.6153
3zdg,Ki,7.1000,5.5570
3zdh,Ki,7.3500,6.1236
3zh8,Kd,6.4700,7.5249
3zmm,Ki,9.1400,8.0073
3zmu,Ki,4.3000,6.5393
3zmv,Ki,4.2600,6.7385
3zos,Kd,8.8900,9.1554
4a6l,Ki,8.0000,7.2835
4a7j,Kd,7.0000,5.5820
4ab8,Kd,3.8700,4.6336
4ab9,Kd,3.3300,4.2037
4aba,Kd,3.8200,3.9518
4abb,Kd,4.5100,4.0569
4abd,Kd,4.4000,4.2209
4abe,Kd,3.4000,4.2220
4abg,Kd,3.5700,4.6736
4abh,Kd,4.1500,4.4402
4abj,Ki,7.4700,7.0705
4acm,Ki,6.6800,7.4751
4afg,Ki,8.3000,6.9126
4aft,Kd,6.4700,6.1284
4aj1,Kd,3.1100,4.2658
4aj2,Kd,2.3800,4.4580
4aj4,Kd,3.8900,4.7678
4aji,Kd,3.5500,5.2665
4ajk,Kd,3.1100,4.4965
4ajl,Kd,3.8000,4.7734
4ajn,Kd,7.1600,6.7807
4ajo,Kd,7.0300,6.9495
4al4,Kd,6.8900,7.2269
4alx,Ki,7.2800,6.9854
4axd,Kd,4.4300,6.2614
4az2,Ki,7.3300,7.2122
4az5,Kd,5.9900,6.0482
4az6,Ki,9.1000,6.4908
4azb,Kd,7.2400,6.5594
4aze,Kd,8.1100,6.8099
4azf,Kd,6.3500,5.8680
4azg,Kd,7.1000,5.7450
4azi,Kd,7.4500,6.0526
4b05,Ki,7.5800,8.0632
4b2i,Kd,3.0000,3.7260
4b2l,Kd,3.2400,4.4974
4b32,Kd,3.3400,3.9494
4b33,Kd,3.3700,3.8374
4b34,Kd,3.1400,3.9596
4b35,Kd,2.8900,3.6860
4b3c,Kd,2.6800,3.4779
4b3d,Kd,2.6800,3.6782
4b5d,Ki,7.8900,6.1561
4b7p,Kd,9.4600,7.0467
4bi6,Kd,3.9500,3.9581
4bkj,Kd,8.7200,8.8822
4bny,Ki,7.1000,6.6898
4bqg,Kd,6.2200,6.7257
4bqt,Kd,5.7900,5.5052
4btk,Kd,6.6200,6.5158
4c9w,Kd,6.1100,7.4914
4c9x,Kd,7.3200,8.2981
4ch2,Kd,5.9900,7.0238
4ch8,Kd,5.9900,4.9408
4cki,Kd,5.9600,5.3832
4ckj,Kd,4.8400,5.3438
4cwn,Ki,5.5900,8.0036
4cwo,Ki,5.2100,7.4501
4cwp,Ki,6.7700,7.7922
4cwq,Ki,7.0600,7.9813
4cwr,Ki,8.3000,7.8762
4cws,Ki,7.9200,8.0556
4cwt,Ki,6.7500,8.2008
4d7b,Kd,7.6800,5.3395
4d8z,Kd,6.2900,6.0289
4daf,Kd,7.1200,6.3666
4dai,Kd,6.9600,5.8251
4db7,Kd,6.5600,6.2237
4dbm,Kd,7.6200,6.9041
4ddh,Kd,3.3000,5.0115
4ddk,Kd,2.2900,4.3149
4ddm,Kd,2.4600,4.6875
4de5,Kd,3.1500,4.9186
4dfu,Ki,4.6000,6.1096
4dju,Ki,5.4400,5.5746
4djv,Ki,6.7200,6.6361
4djw,Ki,6.2800,6.3148
4djx,Ki,7.2300,5.9938
4djy,Ki,8.2700,6.2169
4dlj,Kd,5.9200,6.8013
4dn0,Kd,5.7200,5.4550
4duh,Kd,5.1800,5.7316
4e0x,Ki,7.1200,5.5653
4e5w,Ki,7.6600,8.6332
4e6d,Ki,8.9200,7.8948
4e6q,Ki,8.3600,8.1275
4ef4,Kd,5.3500,5.5781
4ef6,Kd,2.9200,4.7997
4efk,Kd,2.4900,4.8431
4elb,Ki,8.3000,8.9722
4ele,Ki,7.8800,9.1062
4elf,Ki,8.0300,9.0430
4elg,Ki,8.1600,8.9864
4elh,Ki,8.0900,8.8043
4erf,Kd,9.4000,6.3841
4etz,Kd,6.3000,5.3001
4eu0,Kd,6.4000,5.2807
4euv,Kd,6.3000,5.6000
4f08,Ki,6.6000,6.9274
4f09,Ki,6.7000,7.1312
4f5y,Kd,5.4300,6.0504
4f9g,Kd,5.6200,5.4013
4f9w,Ki,6.9400,7.9623
4f9y,Kd,6.7400,6.6875
4fcq,Kd,7.0000,7.7949
4fcr,Kd,9.4000,7.3015
4fev,Ki,5.4200,6.4600
4few,Ki,5.2100,6.5711
4fm7,Kd,7.2400,5.9142
4fm8,Kd,5.9700,5.7197
4fmq,Kd,5.0500,5.6181
4frs,Ki,8.7700,6.1275
4fse,Ki,7.4000,6.9968
4fsl,Ki,7.7000,7.3362
4fzj,Kd,3.1500,3.3917
4g5f,Kd,3.0500,4.9766
4g8m,Kd,7.8900,5.2892
4g95,Ki,7.6100,6.9869
4gfm,Ki,7.2200,6.6418
4gid,Ki,10.7700,8.7235
4gih,Ki,8.3200,7.0918
4gkh,Ki,4.6700,6.7240
4gki,Ki,4.4600,6.6571
4gm3,Ki,9.0000,7.5915
4gm8,Ki,9.0000,7.6369
4gmy,Ki,7.5500,6.5401
4gzp,Ki,7.8400,6.6737
4gzt,Ki,7.7700,6.3937
4h1e,Ki,8.5200,6.5155
4h3f,Ki,9.0000,7.5078
4h3g,Ki,8.2200,7.3131
4h3i,Ki,8.5200,6.9728
4h3j,Ki,7.0500,6.7410
4h3q,Kd,5.1000,5.4638
4ha5,Ki,7.2400,5.3840
4hfp,Kd,7.3800,6.6843
4hgc,Ki,10.0000,6.8427
4hge,Ki,7.9200,7.6739
4i5h,Ki,8.7000,9.6988
4i8x,Kd,2.6400,4.5204
4i9h,Kd,7.1700,7.8307
4i9u,Kd,3.8600,4.9867
4igt,Kd,7.8900,5.3714
4iq6,Ki,7.2400,7.6579
4iue,Kd,6.5500,6.0075
4iva,Ki,7.1600,7.6906
4j21,Kd,7.4100,5.9594
4j22,Kd,7.7400,6.3622
4j3l,Kd,7.8000,6.2247
4j93,Kd,4.7000,4.8254
4jfi,Ki,4.7400,7.0395
4jfj,Ki,5.6800,7.8761
4jfk,Kd,6.4400,8.1407
4jfm,Kd,5.4800,6.9671
4jia,Ki,9.2200,8.1300
4jsz,Ki,2.3000,3.6938
4k0y,Ki,7.8200,7.2203
4k18,Ki,8.9600,7.6575
4k1b,Ki,11.5200,8.4889
4k4j,Kd,6.1200,6.2492
4k6i,Kd,6.2000,7.2100
4kby,Kd,6.7300,6.0385
4km0,Kd,6.0400,5.5615
4km2,Kd,5.8400,5.8479
4kne,Kd,5.9000,5.7154
4ksy,Kd,8.4200,6.7098
4kzq,Kd,6.1000,5.8397
4loh,Kd,6.9600,6.4434
4loo,Kd,8.1500,6.9631
