set,bond_type,len_lo,len_hi,n,pct
Reference ligand (train+test),C-C,1.63,1.635,54.1957,0.0853
Reference ligand (train+test),C-C,1.635,1.64,34.8556,0.0549
Reference ligand (train+test),C-C,1.64,1.645,45.308,0.0713
Reference ligand (train+test),C-C,1.645,1.65,30.7808,0.0485
Reference ligand (train+test),C-C,1.65,1.655,24.552,0.0386
Reference ligand (train+test),C-C,1.655,1.66,21.496,0.0338
Reference ligand (train+test),C-C,1.66,1.665,18.3455,0.0289
Reference ligand (train+test),C-C,1.665,1.67,18.4916,0.0291
Reference ligand (train+test),C-C,1.67,1.675,19.6666,0.031
Reference ligand (train+test),C-C,1.675,1.68,18.4012,0.029
Reference ligand (train+test),C-C,1.68,1.685,25.2194,0.0397
Reference ligand (train+test),C-C,1.685,1.69,25.7111,0.0405
Reference ligand (train+test),C-C,1.69,inf,180.9675,0.2849
Reference ligand (train+test),C=C,-inf,1.1,13.3077,0.371
Reference ligand (train+test),C=C,1.1,1.105,0,0.0
Reference ligand (train+test),C=C,1.105,1.11,0,0.0
Reference ligand (train+test),C=C,1.11,1.115,0,0.0
Reference ligand (train+test),C=C,1.115,1.12,0,0.0
Reference ligand (train+test),C=C,1.12,1.125,0,0.0
Reference ligand (train+test),C=C,1.125,1.13,0,0.0
Reference ligand (train+test),C=C,1.13,1.135,0,0.0
Reference ligand (train+test),C=C,1.135,1.14,0,0.0
Reference ligand (train+test),C=C,1.14,1.145,0,0.0
Reference ligand (train+test),C=C,1.145,1.15,0.6667,0.0186
Reference ligand (train+test),C=C,1.15,1.155,0.3333,0.0093
Reference ligand (train+test),C=C,1.155,1.16,0,0.0
Reference ligand (train+test),C=C,1.16,1.165,0,0.0
Reference ligand (train+test),C=C,1.165,1.17,0,0.0
Reference ligand (train+test),C=C,1.17,1.175,0,0.0
Reference ligand (train+test),C=C,1.175,1.18,0,0.0
Reference ligand (train+test),C=C,1.18,1.185,0,0.0
Reference ligand (train+test),C=C,1.185,1.19,0,0.0
Reference ligand (train+test),C=C,1.19,1.195,0,0.0
Reference ligand (train+test),C=C,1.195,1.2,0,0.0
Reference ligand (train+test),C=C,1.2,1.205,0,0.0
Reference ligand (train+test),C=C,1.205,1.21,2,0.0558
Reference ligand (train+test),C=C,1.21,1.215,1,0.0279
Reference ligand (train+test),C=C,1.215,1.22,1,0.0279
Reference ligand (train+test),C=C,1.22,1.225,3.6667,0.1022
Reference ligand (train+test),C=C,1.225,1.23,0.7333,0.0204
Reference ligand (train+test),C=C,1.23,1.235,0,0.0
Reference ligand (train+test),C=C,1.235,1.24,0,0.0
Reference ligand (train+test),C=C,1.24,1.245,1,0.0279
Reference ligand (train+test),C=C,1.245,1.25,0,0.0
Reference ligand (train+test),C=C,1.25,1.255,4.6667,0.1301
Reference ligand (train+test),C=C,1.255,1.26,1.3333,0.0372
Reference ligand (train+test),C=C,1.26,1.265,3.0,0.0836
Reference ligand (train+test),C=C,1.265,1.27,2,0.0558
Reference ligand (train+test),C=C,1.27,1.275,3.0,0.0836
Reference ligand (train+test),C=C,1.275,1.28,2,0.0558
Reference ligand (train+test),C=C,1.28,1.285,3.3478,0.0933
Reference ligand (train+test),C=C,1.285,1.29,3.8723,0.108
Reference ligand (train+test),C=C,1.29,1.295,8.6802,0.242
Reference ligand (train+test),C=C,1.295,1.3,5.0971,0.1421
Reference ligand (train+test),C=C,1.3,1.305,14.2097,0.3961
Reference ligand (train+test),C=C,1.305,1.31,21.7674,0.6068
Reference ligand (train+test),C=C,1.31,1.315,21.565,0.6012
Reference ligand (train+test),C=C,1.315,1.32,44.6595,1.245
Reference ligand (train+test),C=C,1.32,1.325,57.4012,1.6003
Reference ligand (train+test),C=C,1.325,1.33,87.4172,2.4371
Reference ligand (train+test),C=C,1.33,1.335,110.4923,3.0804
Reference ligand (train+test),C=C,1.335,1.34,119.4668,3.3305
Reference ligand (train+test),C=C,1.34,1.345,153.8056,4.2879
Reference ligand (train+test),C=C,1.345,1.35,136.2303,3.7979
Reference ligand (train+test),C=C,1.35,1.355,130.6997,3.6437
Reference ligand (train+test),C=C,1.355,1.36,111.524,3.1091
Reference ligand (train+test),C=C,1.36,1.365,96.4587,2.6891
Reference ligand (train+test),C=C,1.365,1.37,97.9362,2.7303
Reference ligand (train+test),C=C,1.37,1.375,72.8764,2.0317
Reference ligand (train+test),C=C,1.375,1.38,108.8879,3.0356
Reference ligand (train+test),C=C,1.38,1.385,119.3239,3.3266
Reference ligand (train+test),C=C,1.385,1.39,167.1328,4.6594
Reference ligand (train+test),C=C,1.39,1.395,285.7997,7.9677
Reference ligand (train+test),C=C,1.395,1.4,173.8179,4.8458
Reference ligand (train+test),C=C,1.4,1.405,158.4311,4.4168
Reference ligand (train+test),C=C,1.405,1.41,120.9326,3.3714
Reference ligand (train+test),C=C,1.41,1.415,105.319,2.9361
Reference ligand (train+test),C=C,1.415,1.42,63.2856,1.7643
Reference ligand (train+test),C=C,1.42,1.425,85.3784,2.3802
Reference ligand (train+test),C=C,1.425,1.43,64.6817,1.8032
Reference ligand (train+test),C=C,1.43,1.435,39.4651,1.1002
Reference ligand (train+test),C=C,1.435,1.44,42.3315,1.1801
Reference ligand (train+test),C=C,1.44,1.445,35.6319,0.9934
Reference ligand (train+test),C=C,1.445,1.45,25.4875,0.7106
Reference ligand (train+test),C=C,1.45,1.455,28.9487,0.807
Reference ligand (train+test),C=C,1.455,1.46,17.1521,0.4782
Reference ligand (train+test),C=C,1.46,1.465,32.5387,0.9071
Reference ligand (train+test),C=C,1.465,1.47,37.1735,1.0363
Reference ligand (train+test),C=C,1.47,1.475,28.0989,0.7834
Reference ligand (train+test),C=C,1.475,1.48,36.0102,1.0039
Reference ligand (train+test),C=C,1.48,1.485,26.5681,0.7407
Reference ligand (train+test),C=C,1.485,1.49,28.1464,0.7847
Reference ligand (train+test),C=C,1.49,1.495,34.1982,0.9534
Reference ligand (train+test),C=C,1.495,1.5,31.5613,0.8799
Reference ligand (train+test),C=C,1.5,1.505,37.1781,1.0365
Reference ligand (train+test),C=C,1.505,1.51,21.0075,0.5857
Reference ligand (train+test),C=C,1.51,1.515,32.8523,0.9159
Reference ligand (train+test),C=C,1.515,1.52,26.6533,0.7431
Reference ligand (train+test),C=C,1.52,1.525,38.736,1.0799
Reference ligand (train+test),C=C,1.525,1.53,48.6753,1.357
Reference ligand (train+test),C=C,1.53,1.535,30.0529,0.8378
Reference ligand (train+test),C=C,1.535,1.54,21.2821,0.5933
Reference ligand (train+test),C=C,1.54,1.545,13.5167,0.3768
Reference ligand (train+test),C=C,1.545,1.55,18.7987,0.5241
Reference ligand (train+test),C=C,1.55,1.555,9.2889,0.259
Reference ligand (train+test),C=C,1.555,1.56,14.5559,0.4058
Reference ligand (train+test),C=C,1.56,1.565,6.1344,0.171
Reference ligand (train+test),C=C,1.565,1.57,5.5,0.1533
Reference ligand (train+test),C=C,1.57,1.575,5.15,0.1436
Reference ligand (train+test),C=C,1.575,1.58,1.5333,0.0427
Reference ligand (train+test),C=C,1.58,1.585,2.5667,0.0716
Reference ligand (train+test),C=C,1.585,1.59,2.8,0.0781
Reference ligand (train+test),C=C,1.59,1.595,1.2,0.0335
Reference ligand (train+test),C=C,1.595,1.6,3.7,0.1032
Reference ligand (train+test),C=C,1.6,1.605,3.5,0.0976
Reference ligand (train+test),C=C,1.605,1.61,1.8,0.0502
Reference ligand (train+test),C=C,1.61,1.615,0,0.0
Reference ligand (train+test),C=C,1.615,1.62,0,0.0
Reference ligand (train+test),C=C,1.62,1.625,0,0.0
Reference ligand (train+test),C=C,1.625,1.63,0.6154,0.0172
Reference ligand (train+test),C=C,1.63,1.635,0.3846,0.0107
Reference ligand (train+test),C=C,1.635,1.64,1,0.0279
Reference ligand (train+test),C=C,1.64,1.645,1.0,0.0279
Reference ligand (train+test),C=C,1.645,1.65,0,0.0
Reference ligand (train+test),C=C,1.65,1.655,0,0.0
Reference ligand (train+test),C=C,1.655,1.66,0,0.0
Reference ligand (train+test),C=C,1.66,1.665,0,0.0
Reference ligand (train+test),C=C,1.665,1.67,1.0,0.0279
Reference ligand (train+test),C=C,1.67,1.675,0,0.0
Reference ligand (train+test),C=C,1.675,1.68,0,0.0
Reference ligand (train+test),C=C,1.68,1.685,1,0.0279
Reference ligand (train+test),C=C,1.685,1.69,0,0.0
Reference ligand (train+test),C=C,1.69,inf,2,0.0558
Reference ligand (train+test),C-N,-inf,1.1,6.0976,0.0234
Reference ligand (train+test),C-N,1.1,1.105,1,0.0038
Reference ligand (train+test),C-N,1.105,1.11,0,0.0
Reference ligand (train+test),C-N,1.11,1.115,0,0.0
Reference ligand (train+test),C-N,1.115,1.12,1.1111,0.0043
Reference ligand (train+test),C-N,1.12,1.125,0,0.0
Reference ligand (train+test),C-N,1.125,1.13,2,0.0077
Reference ligand (train+test),C-N,1.13,1.135,0.1111,0.0004
Reference ligand (train+test),C-N,1.135,1.14,0.4444,0.0017
Reference ligand (train+test),C-N,1.14,1.145,0.3333,0.0013
Reference ligand (train+test),C-N,1.145,1.15,0,0.0
Reference ligand (train+test),C-N,1.15,1.155,0,0.0
Reference ligand (train+test),C-N,1.155,1.16,2.0,0.0077
Reference ligand (train+test),C-N,1.16,1.165,0.125,0.0005
Reference ligand (train+test),C-N,1.165,1.17,0,0.0
Reference ligand (train+test),C-N,1.17,1.175,0.5,0.0019
Reference ligand (train+test),C-N,1.175,1.18,0,0.0
Reference ligand (train+test),C-N,1.18,1.185,0,0.0
Reference ligand (train+test),C-N,1.185,1.19,0,0.0
Reference ligand (train+test),C-N,1.19,1.195,1,0.0038
Reference ligand (train+test),C-N,1.195,1.2,2,0.0077
Reference ligand (train+test),C-N,1.2,1.205,0,0.0
Reference ligand (train+test),C-N,1.205,1.21,2.0,0.0077
Reference ligand (train+test),C-N,1.21,1.215,2.0,0.0077
Reference ligand (train+test),C-N,1.215,1.22,1.8772,0.0072
Reference ligand (train+test),C-N,1.22,1.225,0.8333,0.0032
Reference ligand (train+test),C-N,1.225,1.23,6.4242,0.0247
Reference ligand (train+test),C-N,1.23,1.235,7.615,0.0292
Reference ligand (train+test),C-N,1.235,1.24,3.0061,0.0115
Reference ligand (train+test),C-N,1.24,1.245,5.8946,0.0226
Reference ligand (train+test),C-N,1.245,1.25,5.1179,0.0197
Reference ligand (train+test),C-N,1.25,1.255,6.2452,0.024
Reference ligand (train+test),C-N,1.255,1.26,13.4607,0.0517
Reference ligand (train+test),C-N,1.26,1.265,13.7487,0.0528
Reference ligand (train+test),C-N,1.265,1.27,15.1741,0.0583
Reference ligand (train+test),C-N,1.27,1.275,26.9383,0.1035
Reference ligand (train+test),C-N,1.275,1.28,25.3584,0.0974
Reference ligand (train+test),C-N,1.28,1.285,30.8795,0.1186
Reference ligand (train+test),C-N,1.285,1.29,38.9598,0.1496
Reference ligand (train+test),C-N,1.29,1.295,53.7183,0.2063
Reference ligand (train+test),C-N,1.295,1.3,73.0888,0.2807
Reference ligand (train+test),C-N,1.3,1.305,83.0061,0.3188
Reference ligand (train+test),C-N,1.305,1.31,113.5171,0.436
Reference ligand (train+test),C-N,1.31,1.315,145.5559,0.559
Reference ligand (train+test),C-N,1.315,1.32,236.7128,0.9091
Reference ligand (train+test),C-N,1.32,1.325,330.7028,1.2701
Reference ligand (train+test),C-N,1.325,1.33,609.9646,2.3427
Reference ligand (train+test),C-N,1.33,1.335,894.2139,3.4344
Reference ligand (train+test),C-N,1.335,1.34,849.9884,3.2645
Reference ligand (train+test),C-N,1.34,1.345,813.6169,3.1248
Reference ligand (train+test),C-N,1.345,1.35,802.8803,3.0836
Reference ligand (train+test),C-N,1.35,1.355,810.2686,3.112
Reference ligand (train+test),C-N,1.355,1.36,709.054,2.7233
Reference ligand (train+test),C-N,1.36,1.365,597.4607,2.2947
Reference ligand (train+test),C-N,1.365,1.37,542.0389,2.0818
Reference ligand (train+test),C-N,1.37,1.375,503.6862,1.9345
Reference ligand (train+test),C-N,1.375,1.38,436.7161,1.6773
Reference ligand (train+test),C-N,1.38,1.385,415.1853,1.5946
Reference ligand (train+test),C-N,1.385,1.39,383.8265,1.4742
Reference ligand (train+test),C-N,1.39,1.395,370.6214,1.4234
Reference ligand (train+test),C-N,1.395,1.4,362.0357,1.3905
Reference ligand (train+test),C-N,1.4,1.405,361.4061,1.388
Reference ligand (train+test),C-N,1.405,1.41,376.748,1.447
Reference ligand (train+test),C-N,1.41,1.415,335.9283,1.2902
Reference ligand (train+test),C-N,1.415,1.42,393.4609,1.5112
Reference ligand (train+test),C-N,1.42,1.425,368.375,1.4148
Reference ligand (train+test),C-N,1.425,1.43,391.6887,1.5044
Reference ligand (train+test),C-N,1.43,1.435,368.9715,1.4171
Reference ligand (train+test),C-N,1.435,1.44,470.34,1.8064
Reference ligand (train+test),C-N,1.44,1.445,540.1137,2.0744
Reference ligand (train+test),C-N,1.445,1.45,683.273,2.6242
Reference ligand (train+test),C-N,1.45,1.455,915.8542,3.5175
Reference ligand (train+test),C-N,1.455,1.46,1117.762,4.293
Reference ligand (train+test),C-N,1.46,1.465,1304.6206,5.0106
Reference ligand (train+test),C-N,1.465,1.47,1425.4106,5.4746
Reference ligand (train+test),C-N,1.47,1.475,1435.1589,5.512
Reference ligand (train+test),C-N,1.475,1.48,1125.6659,4.3233
Reference ligand (train+test),C-N,1.48,1.485,989.4651,3.8002
Reference ligand (train+test),C-N,1.485,1.49,828.7141,3.1828
Reference ligand (train+test),C-N,1.49,1.495,595.7782,2.2882
Reference ligand (train+test),C-N,1.495,1.5,429.515,1.6496
Reference ligand (train+test),C-N,1.5,1.505,297.2293,1.1416
Reference ligand (train+test),C-N,1.505,1.51,205.0276,0.7874
Reference ligand (train+test),C-N,1.51,1.515,156.2528,0.6001
Reference ligand (train+test),C-N,1.515,1.52,111.1504,0.4269
Reference ligand (train+test),C-N,1.52,1.525,83.5026,0.3207
Reference ligand (train+test),C-N,1.525,1.53,79.7962,0.3065
Reference ligand (train+test),C-N,1.53,1.535,49.4713,0.19
Reference ligand (train+test),C-N,1.535,1.54,32.6112,0.1252
Reference ligand (train+test),C-N,1.54,1.545,32.939,0.1265
Reference ligand (train+test),C-N,1.545,1.55,30.0803,0.1155
Reference ligand (train+test),C-N,1.55,1.555,20.0768,0.0771
Reference ligand (train+test),C-N,1.555,1.56,13.1715,0.0506
Reference ligand (train+test),C-N,1.56,1.565,10.4852,0.0403
Reference ligand (train+test),C-N,1.565,1.57,13.2773,0.051
Reference ligand (train+test),C-N,1.57,1.575,10.3928,0.0399
Reference ligand (train+test),C-N,1.575,1.58,9.4003,0.0361
Reference ligand (train+test),C-N,1.58,1.585,4.1736,0.016
Reference ligand (train+test),C-N,1.585,1.59,7.3351,0.0282
Reference ligand (train+test),C-N,1.59,1.595,7.8233,0.03
Reference ligand (train+test),C-N,1.595,1.6,5.4977,0.0211
Reference ligand (train+test),C-N,1.6,1.605,3.5511,0.0136
Reference ligand (train+test),C-N,1.605,1.61,6.9013,0.0265
Reference ligand (train+test),C-N,1.61,1.615,3.8229,0.0147
Reference ligand (train+test),C-N,1.615,1.62,3.2842,0.0126
Reference ligand (train+test),C-N,1.62,1.625,3.5,0.0134
Reference ligand (train+test),C-N,1.625,1.63,1,0.0038
Reference ligand (train+test),C-N,1.63,1.635,4.1111,0.0158
Reference ligand (train+test),C-N,1.635,1.64,0.1641,0.0006
Reference ligand (train+test),C-N,1.64,1.645,1.225,0.0047
Reference ligand (train+test),C-N,1.645,1.65,1.375,0.0053
Reference ligand (train+test),C-N,1.65,1.655,1.0,0.0038
Reference ligand (train+test),C-N,1.655,1.66,2,0.0077
Reference ligand (train+test),C-N,1.66,1.665,0,0.0
Reference ligand (train+test),C-N,1.665,1.67,0,0.0
Reference ligand (train+test),C-N,1.67,1.675,0,0.0
Reference ligand (train+test),C-N,1.675,1.68,1.1061,0.0042
Reference ligand (train+test),C-N,1.68,1.685,0.0606,0.0002
Reference ligand (train+test),C-N,1.685,1.69,0,0.0
Reference ligand (train+test),C-N,1.69,inf,5.84,0.0224
Reference ligand (train+test),C=N,-inf,1.1,0,0.0
Reference ligand (train+test),C=N,1.1,1.105,0,0.0
Reference ligand (train+test),C=N,1.105,1.11,0,0.0
Reference ligand (train+test),C=N,1.11,1.115,0,0.0
Reference ligand (train+test),C=N,1.115,1.12,0,0.0
Reference ligand (train+test),C=N,1.12,1.125,0,0.0
Reference ligand (train+test),C=N,1.125,1.13,0,0.0
Reference ligand (train+test),C=N,1.13,1.135,1,0.0445
Reference ligand (train+test),C=N,1.135,1.14,0,0.0
Reference ligand (train+test),C=N,1.14,1.145,0,0.0
Reference ligand (train+test),C=N,1.145,1.15,0,0.0
Reference ligand (train+test),C=N,1.15,1.155,0,0.0
Reference ligand (train+test),C=N,1.155,1.16,0,0.0
Reference ligand (train+test),C=N,1.16,1.165,0,0.0
Reference ligand (train+test),C=N,1.165,1.17,0,0.0
Reference ligand (train+test),C=N,1.17,1.175,2.0,0.0891
Reference ligand (train+test),C=N,1.175,1.18,0,0.0
Reference ligand (train+test),C=N,1.18,1.185,0,0.0
Reference ligand (train+test),C=N,1.185,1.19,1,0.0445
Reference ligand (train+test),C=N,1.19,1.195,0,0.0
Reference ligand (train+test),C=N,1.195,1.2,0,0.0
Reference ligand (train+test),C=N,1.2,1.205,0.0841,0.0037
Reference ligand (train+test),C=N,1.205,1.21,1,0.0445
Reference ligand (train+test),C=N,1.21,1.215,0,0.0
Reference ligand (train+test),C=N,1.215,1.22,0,0.0
Reference ligand (train+test),C=N,1.22,1.225,1.76,0.0784
Reference ligand (train+test),C=N,1.225,1.23,0.075,0.0033
Reference ligand (train+test),C=N,1.23,1.235,1,0.0445
Reference ligand (train+test),C=N,1.235,1.24,0.1429,0.0064
Reference ligand (train+test),C=N,1.24,1.245,2.24,0.0998
Reference ligand (train+test),C=N,1.245,1.25,6.225,0.2773
Reference ligand (train+test),C=N,1.25,1.255,6.0152,0.2679
Reference ligand (train+test),C=N,1.255,1.26,14.8728,0.6625
Reference ligand (train+test),C=N,1.26,1.265,15.7661,0.7023
Reference ligand (train+test),C=N,1.265,1.27,17.7498,0.7906
Reference ligand (train+test),C=N,1.27,1.275,17.7292,0.7897
Reference ligand (train+test),C=N,1.275,1.28,14.0466,0.6257
Reference ligand (train+test),C=N,1.28,1.285,11.8816,0.5292
Reference ligand (train+test),C=N,1.285,1.29,13.7691,0.6133
Reference ligand (train+test),C=N,1.29,1.295,21.4205,0.9541
Reference ligand (train+test),C=N,1.295,1.3,34.3528,1.5302
Reference ligand (train+test),C=N,1.3,1.305,36.1457,1.6101
Reference ligand (train+test),C=N,1.305,1.31,43.4913,1.9373
Reference ligand (train+test),C=N,1.31,1.315,45.1662,2.0119
Reference ligand (train+test),C=N,1.315,1.32,57.5873,2.5651
Reference ligand (train+test),C=N,1.32,1.325,94.2082,4.1964
Reference ligand (train+test),C=N,1.325,1.33,124.1365,5.5295
Reference ligand (train+test),C=N,1.33,1.335,156.2293,6.959
Reference ligand (train+test),C=N,1.335,1.34,159.8752,7.1214
Reference ligand (train+test),C=N,1.34,1.345,149.5672,6.6622
Reference ligand (train+test),C=N,1.345,1.35,141.6344,6.3089
Reference ligand (train+test),C=N,1.35,1.355,132.1316,5.8856
Reference ligand (train+test),C=N,1.355,1.36,117.2548,5.2229
Reference ligand (train+test),C=N,1.36,1.365,116.4848,5.1886
Reference ligand (train+test),C=N,1.365,1.37,107.7706,4.8005
Reference ligand (train+test),C=N,1.37,1.375,82.3253,3.6671
Reference ligand (train+test),C=N,1.375,1.38,73.8122,3.2878
Reference ligand (train+test),C=N,1.38,1.385,60.4267,2.6916
Reference ligand (train+test),C=N,1.385,1.39,55.1673,2.4573
Reference ligand (train+test),C=N,1.39,1.395,27.9089,1.2432
Reference ligand (train+test),C=N,1.395,1.4,38.4167,1.7112
Reference ligand (train+test),C=N,1.4,1.405,29.2436,1.3026
Reference ligand (train+test),C=N,1.405,1.41,20.0593,0.8935
Reference ligand (train+test),C=N,1.41,1.415,32.6041,1.4523
Reference ligand (train+test),C=N,1.415,1.42,19.0912,0.8504
Reference ligand (train+test),C=N,1.42,1.425,17.2618,0.7689
Reference ligand (train+test),C=N,1.425,1.43,14.4539,0.6438
Reference ligand (train+test),C=N,1.43,1.435,11.779,0.5247
Reference ligand (train+test),C=N,1.435,1.44,9.5453,0.4252
Reference ligand (train+test),C=N,1.44,1.445,5.2417,0.2335
Reference ligand (train+test),C=N,1.445,1.45,7.8583,0.35
Reference ligand (train+test),C=N,1.45,1.455,8.0236,0.3574
Reference ligand (train+test),C=N,1.455,1.46,7.9675,0.3549
Reference ligand (train+test),C=N,1.46,1.465,14.9538,0.6661
Reference ligand (train+test),C=N,1.465,1.47,7.2917,0.3248
