set,pairs,dist_lo,dist_hi,n,pct
Reference ligand (train+test),All_12A,3.7576,3.8788,56781.6152,1.9885
Reference ligand (train+test),All_12A,3.8788,4.0,30656.8923,1.0736
Reference ligand (train+test),All_12A,4.0,4.1212,32516.7472,1.1387
Reference ligand (train+test),All_12A,4.1212,4.2424,44457.3933,1.5569
Reference ligand (train+test),All_12A,4.2424,4.3636,48345.2843,1.6931
Reference ligand (train+test),All_12A,4.3636,4.4848,44572.1991,1.5609
Reference ligand (train+test),All_12A,4.4848,4.6061,47187.8006,1.6525
Reference ligand (train+test),All_12A,4.6061,4.7273,48516.0594,1.699
Reference ligand (train+test),All_12A,4.7273,4.8485,52387.1421,1.8346
Reference ligand (train+test),All_12A,4.8485,4.9697,53732.0262,1.8817
Reference ligand (train+test),All_12A,4.9697,5.0909,51328.9411,1.7976
Reference ligand (train+test),All_12A,5.0909,5.2121,44996.3757,1.5758
Reference ligand (train+test),All_12A,5.2121,5.3333,37415.6899,1.3103
Reference ligand (train+test),All_12A,5.3333,5.4545,35154.4705,1.2311
Reference ligand (train+test),All_12A,5.4545,5.5758,36101.5442,1.2643
Reference ligand (train+test),All_12A,5.5758,5.697,38504.5409,1.3484
Reference ligand (train+test),All_12A,5.697,5.8182,40314.4893,1.4118
Reference ligand (train+test),All_12A,5.8182,5.9394,41318.0108,1.447
Reference ligand (train+test),All_12A,5.9394,6.0606,41649.4107,1.4586
Reference ligand (train+test),All_12A,6.0606,6.1818,39254.9716,1.3747
Reference ligand (train+test),All_12A,6.1818,6.303,37757.559,1.3223
Reference ligand (train+test),All_12A,6.303,6.4242,40740.853,1.4268
Reference ligand (train+test),All_12A,6.4242,6.5455,42768.2098,1.4978
Reference ligand (train+test),All_12A,6.5455,6.6667,39669.218,1.3892
Reference ligand (train+test),All_12A,6.6667,6.7879,37200.3145,1.3028
Reference ligand (train+test),All_12A,6.7879,6.9091,35598.9758,1.2467
Reference ligand (train+test),All_12A,6.9091,7.0303,35352.0744,1.238
Reference ligand (train+test),All_12A,7.0303,7.1515,35296.2551,1.2361
Reference ligand (train+test),All_12A,7.1515,7.2727,34867.6914,1.2211
Reference ligand (train+test),All_12A,7.2727,7.3939,33382.5901,1.1691
Reference ligand (train+test),All_12A,7.3939,7.5152,31886.6581,1.1167
Reference ligand (train+test),All_12A,7.5152,7.6364,30380.6882,1.0639
Reference ligand (train+test),All_12A,7.6364,7.7576,29554.0119,1.035
Reference ligand (train+test),All_12A,7.7576,7.8788,29404.8588,1.0298
Reference ligand (train+test),All_12A,7.8788,8.0,28285.1316,0.9906
Reference ligand (train+test),All_12A,8.0,8.1212,26811.4052,0.9389
Reference ligand (train+test),All_12A,8.1212,8.2424,26720.0955,0.9357
Reference ligand (train+test),All_12A,8.2424,8.3636,26521.5133,0.9288
Reference ligand (train+test),All_12A,8.3636,8.4848,26360.3627,0.9231
Reference ligand (train+test),All_12A,8.4848,8.6061,25987.9458,0.9101
Reference ligand (train+test),All_12A,8.6061,8.7273,25674.9393,0.8991
Reference ligand (train+test),All_12A,8.7273,8.8485,24722.3312,0.8658
Reference ligand (train+test),All_12A,8.8485,8.9697,23272.6773,0.815
Reference ligand (train+test),All_12A,8.9697,9.0909,22212.2631,0.7779
Reference ligand (train+test),All_12A,9.0909,9.2121,21129.753,0.74
Reference ligand (train+test),All_12A,9.2121,9.3333,20069.4193,0.7028
Reference ligand (train+test),All_12A,9.3333,9.4545,19247.1791,0.674
Reference ligand (train+test),All_12A,9.4545,9.5758,18493.0452,0.6476
Reference ligand (train+test),All_12A,9.5758,9.697,18164.3593,0.6361
Reference ligand (train+test),All_12A,9.697,9.8182,17549.5519,0.6146
Reference ligand (train+test),All_12A,9.8182,9.9394,17037.4786,0.5967
Reference ligand (train+test),All_12A,9.9394,10.0606,16353.3716,0.5727
Reference ligand (train+test),All_12A,10.0606,10.1818,15558.3311,0.5449
Reference ligand (train+test),All_12A,10.1818,10.303,14996.3417,0.5252
Reference ligand (train+test),All_12A,10.303,10.4242,14341.1991,0.5022
Reference ligand (train+test),All_12A,10.4242,10.5455,13975.0399,0.4894
Reference ligand (train+test),All_12A,10.5455,10.6667,13506.4591,0.473
Reference ligand (train+test),All_12A,10.6667,10.7879,13038.8189,0.4566
Reference ligand (train+test),All_12A,10.7879,10.9091,12672.6955,0.4438
Reference ligand (train+test),All_12A,10.9091,11.0303,12172.4787,0.4263
Reference ligand (train+test),All_12A,11.0303,11.1515,11712.2168,0.4102
Reference ligand (train+test),All_12A,11.1515,11.2727,11032.4018,0.3864
Reference ligand (train+test),All_12A,11.2727,11.3939,10490.2648,0.3674
Reference ligand (train+test),All_12A,11.3939,11.5152,9794.7982,0.343
Reference ligand (train+test),All_12A,11.5152,11.6364,9299.0747,0.3257
Reference ligand (train+test),All_12A,11.6364,11.7576,9019.4424,0.3159
Reference ligand (train+test),All_12A,11.7576,11.8788,8730.5329,0.3057
Reference ligand (train+test),All_12A,11.8788,12.0,8220.5483,0.2879
Reference ligand (train+test),CC_2A,0.0,0.0202,0,0.0
Reference ligand (train+test),CC_2A,0.0202,0.0404,0,0.0
Reference ligand (train+test),CC_2A,0.0404,0.0606,0,0.0
Reference ligand (train+test),CC_2A,0.0606,0.0808,0,0.0
Reference ligand (train+test),CC_2A,0.0808,0.101,0,0.0
Reference ligand (train+test),CC_2A,0.101,0.1212,0,0.0
Reference ligand (train+test),CC_2A,0.1212,0.1414,0,0.0
Reference ligand (train+test),CC_2A,0.1414,0.1616,0,0.0
Reference ligand (train+test),CC_2A,0.1616,0.1818,0,0.0
Reference ligand (train+test),CC_2A,0.1818,0.202,0,0.0
Reference ligand (train+test),CC_2A,0.202,0.2222,0,0.0
Reference ligand (train+test),CC_2A,0.2222,0.2424,0,0.0
Reference ligand (train+test),CC_2A,0.2424,0.2626,0,0.0
Reference ligand (train+test),CC_2A,0.2626,0.2828,0,0.0
Reference ligand (train+test),CC_2A,0.2828,0.303,0,0.0
Reference ligand (train+test),CC_2A,0.303,0.3232,0,0.0
Reference ligand (train+test),CC_2A,0.3232,0.3434,0,0.0
Reference ligand (train+test),CC_2A,0.3434,0.3636,0,0.0
Reference ligand (train+test),CC_2A,0.3636,0.3838,0,0.0
Reference ligand (train+test),CC_2A,0.3838,0.404,0,0.0
Reference ligand (train+test),CC_2A,0.404,0.4242,4.0,0.0029
Reference ligand (train+test),CC_2A,0.4242,0.4444,0,0.0
Reference ligand (train+test),CC_2A,0.4444,0.4646,2.0,0.0015
Reference ligand (train+test),CC_2A,0.4646,0.4848,1,0.0007
Reference ligand (train+test),CC_2A,0.4848,0.5051,0,0.0
Reference ligand (train+test),CC_2A,0.5051,0.5253,0,0.0
Reference ligand (train+test),CC_2A,0.5253,0.5455,3.0,0.0022
Reference ligand (train+test),CC_2A,0.5455,0.5657,1,0.0007
Reference ligand (train+test),CC_2A,0.5657,0.5859,1,0.0007
Reference ligand (train+test),CC_2A,0.5859,0.6061,2,0.0015
Reference ligand (train+test),CC_2A,0.6061,0.6263,0,0.0
Reference ligand (train+test),CC_2A,0.6263,0.6465,2.0,0.0015
Reference ligand (train+test),CC_2A,0.6465,0.6667,2,0.0015
Reference ligand (train+test),CC_2A,0.6667,0.6869,3.0,0.0022
Reference ligand (train+test),CC_2A,0.6869,0.7071,5,0.0037
Reference ligand (train+test),CC_2A,0.7071,0.7273,0,0.0
Reference ligand (train+test),CC_2A,0.7273,0.7475,6.0,0.0044
Reference ligand (train+test),CC_2A,0.7475,0.7677,5.0,0.0037
Reference ligand (train+test),CC_2A,0.7677,0.7879,5.0,0.0037
Reference ligand (train+test),CC_2A,0.7879,0.8081,0,0.0
Reference ligand (train+test),CC_2A,0.8081,0.8283,4.0,0.0029
Reference ligand (train+test),CC_2A,0.8283,0.8485,7.0,0.0051
Reference ligand (train+test),CC_2A,0.8485,0.8687,7.0,0.0051
Reference ligand (train+test),CC_2A,0.8687,0.8889,0,0.0
Reference ligand (train+test),CC_2A,0.8889,0.9091,4.6667,0.0034
Reference ligand (train+test),CC_2A,0.9091,0.9293,4,0.0029
Reference ligand (train+test),CC_2A,0.9293,0.9495,12,0.0088
Reference ligand (train+test),CC_2A,0.9495,0.9697,7.0,0.0051
Reference ligand (train+test),CC_2A,0.9697,0.9899,0.4262,0.0003
Reference ligand (train+test),CC_2A,0.9899,1.0101,9,0.0066
Reference ligand (train+test),CC_2A,1.0101,1.0303,3.0,0.0022
Reference ligand (train+test),CC_2A,1.0303,1.0505,7.0,0.0051
Reference ligand (train+test),CC_2A,1.0505,1.0707,5.0,0.0037
Reference ligand (train+test),CC_2A,1.0707,1.0909,11.1667,0.0082
Reference ligand (train+test),CC_2A,1.0909,1.1111,6.9048,0.0051
Reference ligand (train+test),CC_2A,1.1111,1.1313,8.9286,0.0065
Reference ligand (train+test),CC_2A,1.1313,1.1515,11,0.008
Reference ligand (train+test),CC_2A,1.1515,1.1717,20.8667,0.0153
Reference ligand (train+test),CC_2A,1.1717,1.1919,70.9922,0.0519
Reference ligand (train+test),CC_2A,1.1919,1.2121,69.8542,0.0511
Reference ligand (train+test),CC_2A,1.2121,1.2323,51.9003,0.038
Reference ligand (train+test),CC_2A,1.2323,1.2525,31.7822,0.0232
Reference ligand (train+test),CC_2A,1.2525,1.2727,46.7614,0.0342
Reference ligand (train+test),CC_2A,1.2727,1.2929,107.1925,0.0784
Reference ligand (train+test),CC_2A,1.2929,1.3131,216.82,0.1586
Reference ligand (train+test),CC_2A,1.3131,1.3333,937.3332,0.6856
Reference ligand (train+test),CC_2A,1.3333,1.3535,2371.5248,1.7346
Reference ligand (train+test),CC_2A,1.3535,1.3737,4670.9713,3.4166
Reference ligand (train+test),CC_2A,1.3737,1.3939,28539.2375,20.8749
Reference ligand (train+test),CC_2A,1.3939,1.4141,25284.265,18.494
Reference ligand (train+test),CC_2A,1.4141,1.4343,9045.9556,6.6166
Reference ligand (train+test),CC_2A,1.4343,1.4545,4177.7407,3.0558
Reference ligand (train+test),CC_2A,1.4545,1.4747,4247.3547,3.1067
Reference ligand (train+test),CC_2A,1.4747,1.4949,6317.3879,4.6208
Reference ligand (train+test),CC_2A,1.4949,1.5152,11989.5356,8.7697
Reference ligand (train+test),CC_2A,1.5152,1.5354,20745.472,15.1742
Reference ligand (train+test),CC_2A,1.5354,1.5556,11264.8002,8.2396
Reference ligand (train+test),CC_2A,1.5556,1.5758,3708.9323,2.7129
Reference ligand (train+test),CC_2A,1.5758,1.596,1264.2347,0.9247
Reference ligand (train+test),CC_2A,1.596,1.6162,531.0303,0.3884
Reference ligand (train+test),CC_2A,1.6162,1.6364,268.4263,0.1963
Reference ligand (train+test),CC_2A,1.6364,1.6566,134.8789,0.0987
Reference ligand (train+test),CC_2A,1.6566,1.6768,83.5204,0.0611
Reference ligand (train+test),CC_2A,1.6768,1.697,86.9777,0.0636
Reference ligand (train+test),CC_2A,1.697,1.7172,35.1914,0.0257
Reference ligand (train+test),CC_2A,1.7172,1.7374,23.9673,0.0175
Reference ligand (train+test),CC_2A,1.7374,1.7576,19.9773,0.0146
Reference ligand (train+test),CC_2A,1.7576,1.7778,15.1061,0.011
Reference ligand (train+test),CC_2A,1.7778,1.798,15.1667,0.0111
Reference ligand (train+test),CC_2A,1.798,1.8182,12.75,0.0093
Reference ligand (train+test),CC_2A,1.8182,1.8384,23.0029,0.0168
Reference ligand (train+test),CC_2A,1.8384,1.8586,19.0988,0.014
Reference ligand (train+test),CC_2A,1.8586,1.8788,7.837,0.0057
Reference ligand (train+test),CC_2A,1.8788,1.899,19.7207,0.0144
Reference ligand (train+test),CC_2A,1.899,1.9192,19.4074,0.0142
Reference ligand (train+test),CC_2A,1.9192,1.9394,13.2003,0.0097
Reference ligand (train+test),CC_2A,1.9394,1.9596,24.3997,0.0178
Reference ligand (train+test),CC_2A,1.9596,1.9798,17.5631,0.0128
Reference ligand (train+test),CC_2A,1.9798,2.0,13.5038,0.0099
"Reference ligand (train+test, pose-weighted)",All_12A,0.0,0.1212,0,0.0
"Reference ligand (train+test, pose-weighted)",All_12A,0.1212,0.2424,0,0.0
"Reference ligand (train+test, pose-weighted)",All_12A,0.2424,0.3636,0,0.0
"Reference ligand (train+test, pose-weighted)",All_12A,0.3636,0.4848,53,0.0002
"Reference ligand (train+test, pose-weighted)",All_12A,0.4848,0.6061,51,0.0002
"Reference ligand (train+test, pose-weighted)",All_12A,0.6061,0.7273,105,0.0004
"Reference ligand (train+test, pose-weighted)",All_12A,0.7273,0.8485,236,0.0008
"Reference ligand (train+test, pose-weighted)",All_12A,0.8485,0.9697,286,0.001
"Reference ligand (train+test, pose-weighted)",All_12A,0.9697,1.0909,607,0.0021
"Reference ligand (train+test, pose-weighted)",All_12A,1.0909,1.2121,18071,0.0617
"Reference ligand (train+test, pose-weighted)",All_12A,1.2121,1.3333,226923,0.7743
"Reference ligand (train+test, pose-weighted)",All_12A,1.3333,1.4545,1359057,4.6372
"Reference ligand (train+test, pose-weighted)",All_12A,1.4545,1.5758,802630,2.7386
"Reference ligand (train+test, pose-weighted)",All_12A,1.5758,1.697,74039,0.2526
"Reference ligand (train+test, pose-weighted)",All_12A,1.697,1.8182,46179,0.1576
"Reference ligand (train+test, pose-weighted)",All_12A,1.8182,1.9394,8739,0.0298
"Reference ligand (train+test, pose-weighted)",All_12A,1.9394,2.0606,4400,0.015
"Reference ligand (train+test, pose-weighted)",All_12A,2.0606,2.1818,72973,0.249
"Reference ligand (train+test, pose-weighted)",All_12A,2.1818,2.303,315520,1.0766
"Reference ligand (train+test, pose-weighted)",All_12A,2.303,2.4242,1243884,4.2442
"Reference ligand (train+test, pose-weighted)",All_12A,2.4242,2.5455,1391593,4.7482
"Reference ligand (train+test, pose-weighted)",All_12A,2.5455,2.6667,502767,1.7155
"Reference ligand (train+test, pose-weighted)",All_12A,2.6667,2.7879,456469,1.5575
"Reference ligand (train+test, pose-weighted)",All_12A,2.7879,2.9091,466244,1.5908
"Reference ligand (train+test, pose-weighted)",All_12A,2.9091,3.0303,290601,0.9915
"Reference ligand (train+test, pose-weighted)",All_12A,3.0303,3.1515,252979,0.8632
"Reference ligand (train+test, pose-weighted)",All_12A,3.1515,3.2727,235265,0.8027
"Reference ligand (train+test, pose-weighted)",All_12A,3.2727,3.3939,236986,0.8086
"Reference ligand (train+test, pose-weighted)",All_12A,3.3939,3.5152,323031,1.1022
"Reference ligand (train+test, pose-weighted)",All_12A,3.5152,3.6364,606836,2.0706
"Reference ligand (train+test, pose-weighted)",All_12A,3.6364,3.7576,778764,2.6572
"Reference ligand (train+test, pose-weighted)",All_12A,3.7576,3.8788,581579,1.9844
"Reference ligand (train+test, pose-weighted)",All_12A,3.8788,4.0,313124,1.0684
"Reference ligand (train+test, pose-weighted)",All_12A,4.0,4.1212,348240,1.1882
"Reference ligand (train+test, pose-weighted)",All_12A,4.1212,4.2424,472085,1.6108
"Reference ligand (train+test, pose-weighted)",All_12A,4.2424,4.3636,511090,1.7439
"Reference ligand (train+test, pose-weighted)",All_12A,4.3636,4.4848,474515,1.6191
"Reference ligand (train+test, pose-weighted)",All_12A,4.4848,4.6061,493026,1.6822
"Reference ligand (train+test, pose-weighted)",All_12A,4.6061,4.7273,502351,1.714
"Reference ligand (train+test, pose-weighted)",All_12A,4.7273,4.8485,542385,1.8506
"Reference ligand (train+test, pose-weighted)",All_12A,4.8485,4.9697,554059,1.8905
"Reference ligand (train+test, pose-weighted)",All_12A,4.9697,5.0909,528184,1.8022
"Reference ligand (train+test, pose-weighted)",All_12A,5.0909,5.2121,467779,1.5961
"Reference ligand (train+test, pose-weighted)",All_12A,5.2121,5.3333,388026,1.324
"Reference ligand (train+test, pose-weighted)",All_12A,5.3333,5.4545,360707,1.2307
"Reference ligand (train+test, pose-weighted)",All_12A,5.4545,5.5758,371120,1.2663
"Reference ligand (train+test, pose-weighted)",All_12A,5.5758,5.697,397080,1.3549
"Reference ligand (train+test, pose-weighted)",All_12A,5.697,5.8182,414587,1.4146
"Reference ligand (train+test, pose-weighted)",All_12A,5.8182,5.9394,422043,1.44
"Reference ligand (train+test, pose-weighted)",All_12A,5.9394,6.0606,421816,1.4393
"Reference ligand (train+test, pose-weighted)",All_12A,6.0606,6.1818,397742,1.3571
"Reference ligand (train+test, pose-weighted)",All_12A,6.1818,6.303,384921,1.3134
"Reference ligand (train+test, pose-weighted)",All_12A,6.303,6.4242,416196,1.4201
"Reference ligand (train+test, pose-weighted)",All_12A,6.4242,6.5455,442175,1.5087
"Reference ligand (train+test, pose-weighted)",All_12A,6.5455,6.6667,405929,1.385
"Reference ligand (train+test, pose-weighted)",All_12A,6.6667,6.7879,377259,1.2872
"Reference ligand (train+test, pose-weighted)",All_12A,6.7879,6.9091,356578,1.2167
"Reference ligand (train+test, pose-weighted)",All_12A,6.9091,7.0303,349608,1.1929
"Reference ligand (train+test, pose-weighted)",All_12A,7.0303,7.1515,351668,1.1999
"Reference ligand (train+test, pose-weighted)",All_12A,7.1515,7.2727,346131,1.181
"Reference ligand (train+test, pose-weighted)",All_12A,7.2727,7.3939,333756,1.1388
"Reference ligand (train+test, pose-weighted)",All_12A,7.3939,7.5152,317443,1.0831
"Reference ligand (train+test, pose-weighted)",All_12A,7.5152,7.6364,302669,1.0327
"Reference ligand (train+test, pose-weighted)",All_12A,7.6364,7.7576,294149,1.0037
"Reference ligand (train+test, pose-weighted)",All_12A,7.7576,7.8788,292699,0.9987
"Reference ligand (train+test, pose-weighted)",All_12A,7.8788,8.0,279065,0.9522
"Reference ligand (train+test, pose-weighted)",All_12A,8.0,8.1212,263526,0.8992
"Reference ligand (train+test, pose-weighted)",All_12A,8.1212,8.2424,263245,0.8982
"Reference ligand (train+test, pose-weighted)",All_12A,8.2424,8.3636,259254,0.8846
"Reference ligand (train+test, pose-weighted)",All_12A,8.3636,8.4848,258746,0.8829
"Reference ligand (train+test, pose-weighted)",All_12A,8.4848,8.6061,254107,0.867
"Reference ligand (train+test, pose-weighted)",All_12A,8.6061,8.7273,248383,0.8475
"Reference ligand (train+test, pose-weighted)",All_12A,8.7273,8.8485,244031,0.8326
"Reference ligand (train+test, pose-weighted)",All_12A,8.8485,8.9697,227984,0.7779
"Reference ligand (train+test, pose-weighted)",All_12A,8.9697,9.0909,214920,0.7333
"Reference ligand (train+test, pose-weighted)",All_12A,9.0909,9.2121,202826,0.6921
"Reference ligand (train+test, pose-weighted)",All_12A,9.2121,9.3333,189702,0.6473
"Reference ligand (train+test, pose-weighted)",All_12A,9.3333,9.4545,182256,0.6219
"Reference ligand (train+test, pose-weighted)",All_12A,9.4545,9.5758,176198,0.6012
"Reference ligand (train+test, pose-weighted)",All_12A,9.5758,9.697,170775,0.5827
"Reference ligand (train+test, pose-weighted)",All_12A,9.697,9.8182,166375,0.5677
"Reference ligand (train+test, pose-weighted)",All_12A,9.8182,9.9394,160370,0.5472
"Reference ligand (train+test, pose-weighted)",All_12A,9.9394,10.0606,153732,0.5245
"Reference ligand (train+test, pose-weighted)",All_12A,10.0606,10.1818,147352,0.5028
"Reference ligand (train+test, pose-weighted)",All_12A,10.1818,10.303,139480,0.4759
"Reference ligand (train+test, pose-weighted)",All_12A,10.303,10.4242,133726,0.4563
"Reference ligand (train+test, pose-weighted)",All_12A,10.4242,10.5455,129554,0.442
"Reference ligand (train+test, pose-weighted)",All_12A,10.5455,10.6667,124958,0.4264
"Reference ligand (train+test, pose-weighted)",All_12A,10.6667,10.7879,122444,0.4178
"Reference ligand (train+test, pose-weighted)",All_12A,10.7879,10.9091,118418,0.404
"Reference ligand (train+test, pose-weighted)",All_12A,10.9091,11.0303,112823,0.385
"Reference ligand (train+test, pose-weighted)",All_12A,11.0303,11.1515,109389,0.3732
"Reference ligand (train+test, pose-weighted)",All_12A,11.1515,11.2727,101569,0.3466
"Reference ligand (train+test, pose-weighted)",All_12A,11.2727,11.3939,95849,0.327
"Reference ligand (train+test, pose-weighted)",All_12A,11.3939,11.5152,89758,0.3063
"Reference ligand (train+test, pose-weighted)",All_12A,11.5152,11.6364,84845,0.2895
"Reference ligand (train+test, pose-weighted)",All_12A,11.6364,11.7576,81515,0.2781
"Reference ligand (train+test, pose-weighted)",All_12A,11.7576,11.8788,78287,0.2671
"Reference ligand (train+test, pose-weighted)",All_12A,11.8788,12.0,74453,0.254
"Reference ligand (train+test, pose-weighted)",CC_2A,0.0,0.0202,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.0202,0.0404,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.0404,0.0606,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.0606,0.0808,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.0808,0.101,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.101,0.1212,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.1212,0.1414,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.1414,0.1616,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.1616,0.1818,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.1818,0.202,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.202,0.2222,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.2222,0.2424,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.2424,0.2626,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.2626,0.2828,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.2828,0.303,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.303,0.3232,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.3232,0.3434,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.3434,0.3636,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.3636,0.3838,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.3838,0.404,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.404,0.4242,23,0.0016
"Reference ligand (train+test, pose-weighted)",CC_2A,0.4242,0.4444,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.4444,0.4646,12,0.0008
"Reference ligand (train+test, pose-weighted)",CC_2A,0.4646,0.4848,3,0.0002
"Reference ligand (train+test, pose-weighted)",CC_2A,0.4848,0.5051,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.5051,0.5253,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.5253,0.5455,21,0.0015
"Reference ligand (train+test, pose-weighted)",CC_2A,0.5455,0.5657,1,0.0001
"Reference ligand (train+test, pose-weighted)",CC_2A,0.5657,0.5859,4,0.0003
"Reference ligand (train+test, pose-weighted)",CC_2A,0.5859,0.6061,18,0.0013
"Reference ligand (train+test, pose-weighted)",CC_2A,0.6061,0.6263,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.6263,0.6465,19,0.0013
"Reference ligand (train+test, pose-weighted)",CC_2A,0.6465,0.6667,18,0.0013
"Reference ligand (train+test, pose-weighted)",CC_2A,0.6667,0.6869,15,0.0011
"Reference ligand (train+test, pose-weighted)",CC_2A,0.6869,0.7071,20,0.0014
"Reference ligand (train+test, pose-weighted)",CC_2A,0.7071,0.7273,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.7273,0.7475,41,0.0029
"Reference ligand (train+test, pose-weighted)",CC_2A,0.7475,0.7677,29,0.002
"Reference ligand (train+test, pose-weighted)",CC_2A,0.7677,0.7879,42,0.003
"Reference ligand (train+test, pose-weighted)",CC_2A,0.7879,0.8081,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.8081,0.8283,36,0.0025
"Reference ligand (train+test, pose-weighted)",CC_2A,0.8283,0.8485,46,0.0032
"Reference ligand (train+test, pose-weighted)",CC_2A,0.8485,0.8687,42,0.003
"Reference ligand (train+test, pose-weighted)",CC_2A,0.8687,0.8889,0,0.0
"Reference ligand (train+test, pose-weighted)",CC_2A,0.8889,0.9091,19,0.0013
"Reference ligand (train+test, pose-weighted)",CC_2A,0.9091,0.9293,25,0.0018
"Reference ligand (train+test, pose-weighted)",CC_2A,0.9293,0.9495,49,0.0035
"Reference ligand (train+test, pose-weighted)",CC_2A,0.9495,0.9697,28,0.002
"Reference ligand (train+test, pose-weighted)",CC_2A,0.9697,0.9899,36,0.0025
"Reference ligand (train+test, pose-weighted)",CC_2A,0.9899,1.0101,51,0.0036
"Reference ligand (train+test, pose-weighted)",CC_2A,1.0101,1.0303,19,0.0013
"Reference ligand (train+test, pose-weighted)",CC_2A,1.0303,1.0505,32,0.0023
"Reference ligand (train+test, pose-weighted)",CC_2A,1.0505,1.0707,45,0.0032
"Reference ligand (train+test, pose-weighted)",CC_2A,1.0707,1.0909,128,0.009
"Reference ligand (train+test, pose-weighted)",CC_2A,1.0909,1.1111,69,0.0049
"Reference ligand (train+test, pose-weighted)",CC_2A,1.1111,1.1313,54,0.0038
"Reference ligand (train+test, pose-weighted)",CC_2A,1.1313,1.1515,60,0.0042
"Reference ligand (train+test, pose-weighted)",CC_2A,1.1515,1.1717,113,0.008
"Reference ligand (train+test, pose-weighted)",CC_2A,1.1717,1.1919,571,0.0403
"Reference ligand (train+test, pose-weighted)",CC_2A,1.1919,1.2121,710,0.0501
"Reference ligand (train+test, pose-weighted)",CC_2A,1.2121,1.2323,547,0.0386
"Reference ligand (train+test, pose-weighted)",CC_2A,1.2323,1.2525,210,0.0148
