benchmark	downstream_split	downstream_pid	downstream_chain	plinder_pid	plinder_entity	fident	qcov	tcov	alnlen	evalue	bits
id30	test	3gba	chain0	5mfq	1	1.000	1.000	1.000	257	1.068E-173	536
id30	test	3gbb	chain0	5mfq	1	1.000	1.000	0.992	255	5.274E-172	531
id30	test	3gcp	chain0	3lfc	1	0.965	1.000	0.969	349	9.754E-224	685
id30	test	3gcs	chain0	3lfc	1	0.951	1.000	0.967	348	1.284E-217	667
id30	test	3gcu	chain0	3uvr	1	0.971	1.000	0.969	349	4.006E-226	692
id30	test	3hk1	chain0	7wc3	1	0.916	1.000	0.992	131	1.119E-76	249
id30	test	3hl7	chain0	3uvr	1	0.968	1.000	0.964	347	1.885E-224	687
id30	test	3hub	chain0	3lfc	1	0.959	1.000	0.969	349	1.069E-221	679
id30	test	3huc	chain0	3uvr	1	0.965	1.000	0.969	349	8.891E-225	688
id30	test	3i25	chain0	5qd9	1	0.961	1.000	0.965	388	1.625E-253	773
id30	test	3iph	chain0	6zqs	1	0.988	1.000	0.964	349	3.670E-231	707
id30	test	3iw5	chain0	3lfc	1	0.960	1.000	0.972	350	1.229E-220	676
id30	test	3iw6	chain0	3lfc	1	0.962	1.000	0.972	350	2.608E-221	678
id30	test	3jvr	chain0	6fc8	1	0.952	1.000	0.982	271	6.077E-172	531
id30	test	3jvs	chain0	6fc8	1	0.944	1.000	0.982	271	1.350E-170	527
id30	test	3kgu	chain0	8aww	1	1.000	1.000	0.991	115	1.542E-73	239
id30	test	3kmx	chain0	5qd9	1	1.000	1.000	0.983	395	7.895E-273	830
id30	test	3kmy	chain0	5qd9	1	1.000	1.000	0.983	395	7.895E-273	830
id30	test	3lpi	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	3lpk	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	3myg	chain0	8c15	1	0.958	1.000	0.992	263	7.313E-167	516
id30	test	3nee	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	3neo	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	3nes	chain2	8pm8	1	1.000	1.000	0.913	116	3.266E-74	241
id30	test	3nex	chain0	8pm8	1	1.000	1.000	0.913	116	3.266E-74	241
id30	test	3npc	chain0	4e73	1	0.856	0.997	0.965	356	8.992E-209	643
id30	test	3o8p	chain0	3mpa	1	0.968	1.000	0.964	347	9.307E-224	685
id30	test	3ocp	chain1	3ogj	1	1.000	1.000	0.921	128	2.418E-83	268
id30	test	3ozj	chain0	1xls	1	0.926	1.000	1.000	232	8.755E-138	430
id30	test	3p3r	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	3p3t	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	3p8z	chain0	5ec8	1	1.000	1.000	0.931	257	1.969E-175	541
id30	test	3pd8	chain1	2aix	1	1.000	1.000	0.992	261	5.806E-174	537
id30	test	3pd9	chain1	2aix	1	1.000	1.000	0.989	260	2.736E-173	535
id30	test	3ppp	chain0	6eyl	1	0.730	0.996	0.886	271	7.349E-134	422
id30	test	3ppq	chain0	6eyl	1	0.730	1.000	0.886	271	7.022E-134	422
id30	test	3ppr	chain0	6eyl	1	0.730	1.000	0.886	271	7.022E-134	422
id30	test	3pwk	chain1	3q11	1	1.000	1.000	0.981	359	5.349E-233	713
id30	test	3qqs	chain0	3qsa	1	1.000	1.000	0.918	346	4.779E-219	672
id30	test	3qxt	chain0	7tjc	1	0.774	1.000	0.899	124	6.316E-55	186
id30	test	3qxv	chain0	7tjc	1	0.764	1.000	0.891	123	3.298E-53	181
id30	test	3r6u	chain0	6eyl	1	0.996	1.000	0.889	272	2.281E-181	559
id30	test	3r88	chain0	3qsa	1	0.994	1.000	0.918	346	5.742E-216	663
id30	test	3roc	chain0	6zqs	1	0.968	1.000	0.961	348	4.002E-225	689
id30	test	3rsx	chain0	4gmi	1	0.968	1.000	0.990	387	7.325E-255	777
id30	test	3rt8	chain0	4f29	1	1.000	1.000	1.000	258	3.003E-171	529
id30	test	3rtf	chain0	2aix	1	1.000	1.000	0.981	258	6.077E-172	531
id30	test	3rwp	chain0	3nax	1	0.965	1.000	0.923	287	1.130E-183	566
id30	test	3s2v	chain1	5mfq	1	1.000	1.000	1.000	257	1.068E-173	536
id30	test	3t0x	chain0	5acl	1	0.657	0.964	0.964	107	8.415E-38	136
id30	test	3twp	chain0	3qsa	1	1.000	1.000	0.918	346	4.779E-219	672
id30	test	3tza	chain0	2aix	1	1.000	1.000	0.992	261	5.806E-174	537
id30	test	3u92	chain0	3u94	1	1.000	1.000	0.988	254	1.228E-170	527
id30	test	3udh	chain0	4i0i	1	0.985	1.000	0.985	400	2.207E-269	820
id30	test	3uo4	chain0	6vpg	1	0.996	1.000	0.911	266	5.057E-178	549
id30	test	3uod	chain0	6vpg	1	0.996	1.000	0.911	266	5.057E-178	549
id30	test	3up2	chain0	6vpg	1	0.996	1.000	0.911	266	5.057E-178	549
id30	test	3uu1	chain0	3qsa	1	0.976	1.000	0.918	346	6.888E-211	648
id30	test	3vvy	chain0	6ko7	1	1.000	1.000	0.948	184	7.293E-116	365
id30	test	3vw1	chain0	6ko7	1	1.000	1.000	0.948	184	7.293E-116	365
id30	test	3vw2	chain0	6ko7	1	1.000	1.000	0.948	184	7.293E-116	365
id30	test	3wvm	chain0	7ego	1	1.000	1.000	1.000	133	2.794E-84	271
id30	test	3wzn	chain0	3wzo	1	1.000	1.000	0.961	124	5.947E-80	258
id30	test	4b9k	chain2	8bdm	3	0.971	1.000	0.870	141	1.253E-86	278
id30	test	4bck	chain0	3tnw	1	0.996	1.000	0.997	299	1.384E-200	616
id30	test	4bcm	chain0	4cfn	1	0.986	1.000	0.990	299	3.532E-197	606
id30	test	4bcn	chain0	4cfn	1	0.996	1.000	0.980	296	1.448E-198	610
id30	test	4bco	chain0	3tnw	1	0.996	1.000	0.997	299	1.384E-200	616
id30	test	4bcs	chain0	2of8	1	0.884	0.984	0.960	121	8.279E-68	223
id30	test	4bj8	chain1	6xnd	1	0.384	0.966	0.914	117	3.437E-18	80
id30	test	4bks	chain2	8bdm	3	0.971	1.000	0.870	141	1.253E-86	278
id30	test	4bkt	chain2	8bdm	3	0.978	1.000	0.864	140	1.253E-86	278
id30	test	4c2v	chain0	4c2w	1	0.996	0.996	0.968	270	1.805E-183	565
id30	test	4d4d	chain0	7nl5	1	0.991	1.000	0.928	336	2.654E-236	721
id30	test	4d7b	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	4des	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	4det	chain2	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	4deu	chain0	8aww	1	1.000	0.991	1.000	116	3.429E-74	241
id30	test	4dju	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4djv	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4djw	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4djx	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4djy	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4dld	chain0	5mfq	1	1.000	1.000	0.992	255	5.274E-172	531
id30	test	4e0x	chain3	5mfq	1	1.000	1.000	0.988	254	2.485E-171	529
id30	test	4e4l	chain0	6tpe	1	0.955	1.000	0.997	290	2.184E-185	571
id30	test	4e4n	chain0	6sm8	1	0.963	1.000	1.000	302	1.825E-194	598
id30	test	4e5w	chain0	6sm8	1	0.966	1.000	1.000	302	3.872E-195	600
id30	test	4ehz	chain0	6dbn	1	0.976	1.000	0.940	297	1.445E-196	604
id30	test	4ei4	chain0	6sm8	1	0.956	1.000	1.000	302	2.001E-192	592
id30	test	4eor	chain0	4cfn	1	0.983	1.000	0.987	298	1.742E-195	601
id30	test	4f9w	chain0	6zqs	1	0.965	1.000	0.961	348	1.885E-224	687
id30	test	4f9y	chain0	3uvr	1	0.971	1.000	0.969	349	4.006E-226	692
id30	test	4fk6	chain0	6ggh	1	0.976	1.000	1.000	292	1.819E-191	589
id30	test	4fm7	chain0	4i0i	1	0.985	1.000	0.985	400	2.207E-269	820
id30	test	4fm8	chain0	4i0i	1	0.985	1.000	0.985	400	2.207E-269	820
id30	test	4fs4	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4fsl	chain0	5qd9	1	1.000	1.000	0.963	387	8.603E-268	815
id30	test	4g8m	chain0	2aix	1	1.000	1.000	0.989	260	2.736E-173	535
id30	test	4g8n	chain0	4mh5	1	1.000	1.000	0.988	255	2.606E-171	529
id30	test	4gkm	chain0	3qsa	1	1.000	1.000	0.918	346	4.779E-219	672
id30	test	4h3f	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4h3g	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4h3j	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4ha5	chain0	5qd9	1	1.000	1.000	0.970	390	1.830E-269	820
id30	test	4i5c	chain0	6tpe	1	0.962	1.000	0.997	290	4.858E-186	573
id30	test	4igt	chain0	2aix	1	1.000	1.000	1.000	263	2.614E-175	541
id30	test	4ij1	chain1	3qsa	1	0.971	1.000	0.918	346	8.278E-208	639
id30	test	4isu	chain1	2aix	1	1.000	1.000	0.985	259	1.290E-172	533
id30	test	4ivb	chain0	6sm8	1	0.963	1.000	1.000	302	1.825E-194	598
id30	test	4ivc	chain0	6sm8	1	0.963	1.000	1.000	302	1.825E-194	598
id30	test	4ivd	chain0	6sm8	1	0.960	1.000	1.000	302	1.911E-193	595
id30	test	4jym	chain0	7k38	1	0.771	1.000	0.989	267	1.379E-141	444
id30	test	4k3h	chain0	1oax	2	0.596	1.000	0.991	109	2.836E-32	120
id30	test	4k4j	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4k6i	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4k77	chain0	6tpe	1	0.965	1.000	0.997	290	4.226E-188	579
id30	test	4loo	chain0	6sfo	1	1.000	1.000	0.967	349	5.140E-237	724
id30	test	4m0r	chain0	3qsa	1	0.991	1.000	0.915	345	2.832E-214	658
id30	test	4m8e	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4m8h	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4n07	chain0	4iy5	1	1.000	1.000	0.996	262	2.494E-175	541
id30	test	4n8q	chain0	3qsa	1	0.997	1.000	0.920	347	1.164E-217	668
id30	test	4nra	chain0	5pba	1	1.000	1.000	0.841	116	2.681E-76	247
id30	test	4nwc	chain0	4mh5	1	1.000	1.000	0.988	255	2.606E-171	529
id30	test	4owm	chain0	3qsa	1	1.000	1.000	0.918	346	4.779E-219	672
id30	test	4poh	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4poj	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4pp3	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4pp5	chain0	5z12	2	0.926	1.000	1.000	231	9.177E-137	427
id30	test	4qem	chain0	3cbi	1	1.000	1.000	1.000	121	5.757E-87	278
id30	test	4qer	chain0	3cbi	1	1.000	1.000	1.000	121	5.757E-87	278
id30	test	4qf9	chain0	5mfq	1	1.000	1.000	0.973	250	1.347E-167	518
id30	test	4r3w	chain0	3q11	1	1.000	1.000	0.975	357	5.343E-232	710
id30	test	4rqk	chain0	5ack	1	0.996	1.000	0.920	286	1.735E-191	589
id30	test	4rqv	chain0	5ack	1	0.996	1.000	0.929	289	7.464E-194	596
id30	test	4rvr	chain0	5cq3	1	1.000	1.000	0.975	117	1.264E-76	248
id30	test	4tjz	chain0	7ego	1	1.000	1.000	1.000	133	2.794E-84	271
id30	test	4tkh	chain0	7ego	1	1.000	1.000	1.000	133	2.794E-84	271
id30	test	4tkj	chain0	7ego	1	1.000	1.000	1.000	133	2.794E-84	271
id30	test	4ufi	chain0	4ccc	1	0.995	1.000	0.985	644	0.000E+00	1374
id30	test	4ufj	chain0	3zr6	1	0.993	1.000	0.982	644	0.000E+00	1372
id30	test	4ufl	chain0	4ccc	1	0.995	1.000	0.985	644	0.000E+00	1374
id30	test	4w9c	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4w9d	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4w9f	chain2	8bdm	3	0.985	1.000	0.877	142	2.408E-89	286
id30	test	4w9h	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4w9i	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4w9j	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4w9k	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4w9l	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	4whs	chain1	3lxv	2	0.995	1.000	1.000	238	3.765E-167	516
id30	test	4x48	chain0	2aix	1	1.000	1.000	0.981	258	6.077E-172	531
id30	test	4y59	chain0	2rtj	1	1.000	1.000	0.896	121	2.810E-78	253
id30	test	4y5d	chain0	4irw	1	1.000	1.000	0.946	122	1.325E-78	254
id30	test	4ymb	chain1	5mfq	1	1.000	1.000	0.992	255	1.172E-171	530
id30	test	5aut	chain0	5av2	1	0.992	1.000	0.942	276	1.639E-177	548
id30	test	5b5f	chain0	6avk	1	1.000	1.000	0.976	120	1.326E-77	251
id30	test	5b5g	chain0	6avk	1	1.000	1.000	0.976	120	1.326E-77	251
id30	test	5boj	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5c1m	chain0	8e0g	1	0.993	1.000	1.000	296	1.192E-191	590
id30	test	5cbr	chain0	2aix	1	1.000	1.000	0.981	258	6.077E-172	531
id30	test	5cbs	chain1	2aix	1	1.000	1.000	0.992	261	5.806E-174	537
id30	test	5cc2	chain0	8bn2	1	0.627	0.996	0.904	255	9.187E-115	366
id30	test	5chk	chain0	6xnd	1	1.000	1.000	0.945	121	2.810E-78	253
id30	test	5cst	chain0	3u6z	1	1.000	1.000	1.000	246	3.128E-156	485
id30	test	5d45	chain0	7fvy	1	1.000	1.000	1.000	135	1.138E-86	278
id30	test	5d47	chain0	7fvy	1	1.000	1.000	1.000	135	1.138E-86	278
id30	test	5d48	chain0	8wdx	1	1.000	1.000	0.895	136	2.411E-87	280
id30	test	5dnu	chain0	7k38	1	0.683	0.993	0.981	265	7.937E-122	387
id30	test	5dqc	chain0	5qd9	1	0.958	1.000	0.965	388	7.655E-253	771
id30	test	5e73	chain0	5pba	1	1.000	1.000	0.841	116	2.681E-76	247
id30	test	5e74	chain0	5pba	1	1.000	1.000	0.841	116	2.681E-76	247
id30	test	5edb	chain0	7fvy	1	1.000	1.000	0.993	134	5.370E-86	276
id30	test	5edc	chain0	7wc3	1	1.000	0.992	1.000	132	2.794E-84	271
id30	test	5en3	chain2	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5fe6	chain0	5fe4	1	1.000	1.000	0.916	109	6.948E-71	231
id30	test	5fe7	chain0	5fe4	1	1.000	1.000	0.916	109	6.948E-71	231
id30	test	5fe9	chain0	5fe4	1	1.000	1.000	0.916	109	6.948E-71	231
id30	test	5fhm	chain1	2aix	1	1.000	1.000	0.985	259	1.290E-172	533
id30	test	5fhn	chain0	2aix	1	1.000	1.000	0.981	258	6.077E-172	531
id30	test	5fho	chain1	3b7d	1	0.984	1.000	0.996	260	3.619E-168	520
id30	test	5ha1	chain0	5h8t	1	1.000	1.000	1.000	140	2.992E-95	303
id30	test	5htz	chain0	5qd9	1	0.992	1.000	0.973	391	9.889E-267	812
id30	test	5hz5	chain0	7fy0	1	1.000	1.000	0.971	134	4.419E-88	282
id30	test	5hz6	chain0	7wc3	1	1.000	0.985	0.977	129	1.528E-81	263
id30	test	5hz8	chain0	7fw8	1	1.000	1.000	1.000	135	2.533E-86	277
id30	test	5hz9	chain0	3wbg	1	1.000	1.000	0.882	135	1.254E-85	275
id30	test	5i3v	chain0	5qd9	1	0.953	1.000	0.965	388	3.773E-251	766
id30	test	5i3w	chain0	5qd9	1	0.971	1.000	0.965	388	6.098E-258	786
id30	test	5i3x	chain0	6c2i	1	0.958	1.000	0.946	389	1.625E-253	773
id30	test	5i3y	chain0	5qd9	1	0.953	1.000	0.963	387	4.331E-249	760
id30	test	5ie1	chain0	5qd9	1	0.932	1.000	0.963	387	1.263E-241	738
id30	test	5ihh	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5ikb	chain0	5cmk	1	0.636	1.000	0.965	250	7.553E-105	337
id30	test	5jq5	chain0	6oqi	1	0.969	1.000	0.990	296	8.986E-191	587
id30	test	5k9w	chain0	8skl	1	1.000	1.000	0.925	298	1.203E-201	619
id30	test	5ka1	chain0	7mn7	1	0.996	1.000	0.922	284	3.510E-191	588
id30	test	5ka7	chain0	8skl	1	0.996	1.000	0.925	298	5.942E-201	617
id30	test	5ka9	chain0	7mn7	1	0.993	1.000	0.971	299	1.261E-201	619
id30	test	5kab	chain0	8g65	1	0.996	1.000	0.946	282	3.849E-189	582
id30	test	5kad	chain0	7mn7	1	0.992	1.000	0.925	285	3.679E-191	588
id30	test	5l2s	chain0	6oqo	1	0.903	1.000	1.000	291	1.019E-168	522
id30	test	5l4i	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5lli	chain2	8bdm	3	0.992	1.000	0.877	142	4.630E-91	291
id30	test	5lvl	chain0	5ack	1	0.996	1.000	0.920	286	1.735E-191	589
id30	test	5lvq	chain0	5fe4	1	1.000	1.000	0.908	108	3.281E-70	229
id30	test	5lvr	chain1	5fe4	1	1.000	1.000	0.908	108	3.281E-70	229
id30	test	5mge	chain0	5pba	1	1.000	1.000	0.841	116	2.681E-76	247
id30	test	5mgf	chain0	5pba	1	1.000	1.000	0.841	116	2.681E-76	247
id30	test	5mgj	chain0	7bl9	1	1.000	1.000	0.981	103	6.972E-68	222
id30	test	5mgk	chain0	7bl9	1	1.000	1.000	0.981	103	6.972E-68	222
id30	test	5n0f	chain0	7nl5	1	0.988	1.000	0.928	336	1.250E-235	719
id30	test	5neb	chain0	5mfq	1	1.000	1.000	0.996	256	1.119E-172	533
id30	test	5nih	chain0	2aix	1	1.000	1.000	0.996	262	5.543E-175	540
id30	test	5nvv	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	5nvw	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	5nvx	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	5nw0	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	5nw1	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	5nw2	chain2	8bdm	3	0.992	1.000	0.870	141	9.818E-91	290
id30	test	5o4f	chain0	3u94	1	1.000	0.996	0.969	249	3.288E-166	514
id30	test	5orv	chain0	5orn	1	0.996	1.000	1.000	265	2.383E-177	547
id30	test	5orw	chain0	5orn	1	0.996	1.000	1.000	265	2.383E-177	547
id30	test	5os2	chain0	5orn	1	0.984	1.000	1.000	265	5.806E-174	537
id30	test	5os4	chain0	5orn	1	0.996	1.000	1.000	265	2.383E-177	547
id30	test	5os5	chain0	6r4a	1	0.996	1.000	0.940	268	2.500E-178	550
id30	test	5ose	chain0	5orn	1	0.996	1.000	1.000	265	2.383E-177	547
id30	test	5t19	chain0	8g65	1	1.000	0.993	1.000	298	5.948E-202	620
id30	test	5tbe	chain0	3uvr	1	0.951	1.000	0.969	349	2.724E-218	669
id30	test	5u0w	chain0	5u0v	1	0.957	1.000	0.993	282	6.366E-169	523
id30	test	5u0y	chain0	5u0v	1	0.968	1.000	0.993	282	5.046E-173	535
id30	test	5u0z	chain0	5u0v	1	0.964	1.000	0.993	282	1.175E-171	531
id30	test	5u11	chain0	5u0v	1	0.968	1.000	0.993	282	5.046E-173	535
id30	test	5u12	chain1	5u0v	1	0.964	1.000	0.996	283	2.493E-172	533
id30	test	5u13	chain0	5u0v	1	0.964	1.000	0.993	282	1.175E-171	531
id30	test	5u14	chain0	5u0v	1	0.968	1.000	0.993	282	5.046E-173	535
id30	test	5u49	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5u4b	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5u4d	chain0	8aww	1	1.000	1.000	1.000	116	3.266E-74	241
id30	test	5v0n	chain0	4gmi	1	0.958	1.000	0.990	387	3.605E-252	769
id30	test	5v79	chain0	5u0v	1	0.963	1.000	0.972	276	5.793E-168	520
id30	test	5v7a	chain0	5u0v	1	0.963	1.000	0.972	276	5.793E-168	520
id30	test	5vja	chain0	2j90	1	0.981	1.000	0.891	271	8.862E-172	531
id30	test	5vl2	chain0	5van	2	0.733	0.992	0.925	124	3.622E-53	181
id30	test	5vm0	chain0	5van	2	0.717	0.976	0.925	124	9.774E-52	177
id30	test	5y12	chain0	8wdx	1	1.000	1.000	0.895	136	2.411E-87	280
id30	test	6ej2	chain0	5qd9	1	0.963	0.997	0.965	388	4.355E-253	772
id30	test	6ej3	chain0	4i0i	1	0.950	1.000	0.953	387	8.372E-250	762
id30	test	6f28	chain0	3u94	1	1.000	1.000	0.988	254	1.228E-170	527
