plinder_pdb	plinder_chain	cohort_pdb	cohort_chain	pident	query_coverage	subject_coverage	alignment_length	query_length	subject_length	evalue	bitscore
1gdu	1gdu_A	1c5s	1c5s__chain0	42.0	95.1	93.7	219	224	223	1.71e-39	130.0
1geg	1geg_E	4bny	4bny__chain2	34.7	98.0	90.5	251	256	253	7.64e-33	115.0
1gi0	1gi0_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1gi2	1gi2_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1gi3	1gi3_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1gi5	1gi5_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1gj9	1gj9_B	1gjc	1gjc__chain0	100.0	100.0	100.0	246	246	246	3.18e-195	527.0
1gwx	1gwx_A	4k4j	4k4j__chain0	31.9	64.6	83.2	182	271	214	8.57e-17	72.0
1gz8	1gz8_A	5jq5	5jq5__chain0	99.3	99.3	100.0	289	291	287	1.12e-212	575.0
1hax	1hax_B	2fpz	2fpz__chain0	38.0	98.8	99.2	250	240	243	1.16e-49	158.0
1hj1	1hj1_A	4k4j	4k4j__chain0	33.2	95.6	88.3	202	204	214	2.5e-17	72.0
1hj9	1hj9_A	1c5s	1c5s__chain0	97.3	100.0	100.0	223	223	223	1.5e-159	435.0
1i0z	1i0z_A	4aj4	4aj4__chain1	76.2	98.8	99.1	328	332	330	2.3399999999999997e-187	514.0
1i10	1i10_A	4aj4	4aj4__chain1	94.5	99.4	99.7	329	331	330	7.069999999999999e-230	622.0
1i3u	1i3u_A	1q72	1q72__chain1	51.6	100.0	53.6	126	126	220	5.58e-35	115.0
1i44	1i44_A	6pl1	6pl1__chain0	41.0	89.7	92.1	271	282	290	4.830000000000001e-66	203.0
1i8m	1i8m_L	1q72	1q72__chain0	69.7	100.0	100.0	218	213	218	1.96e-110	310.0
1i9j	1i9j_L	1q72	1q72__chain0	79.8	99.5	100.0	218	219	218	7.619999999999999e-128	355.0
1ia1	1ia1_A	3oaf	3oaf__chain0	32.8	94.8	95.7	189	192	186	4.98e-26	94.0
1ie8	1ie8_A	5jy3	5jy3__chain0	36.5	76.4	82.5	192	250	228	1.01e-36	124.0
1if2	1if2_A	2v2c	2v2c__chain0	70.2	99.6	99.6	248	249	249	6.37e-128	357.0
1ig1	1ig1_A	5aut	5aut__chain0	99.3	98.6	100.0	276	280	274	1.58e-197	536.0
1inv	1inv_A	5nze	5nze__chain0	36.6	90.0	89.9	361	390	387	4.65e-76	236.0
1ipf	1ipf_A	4bny	4bny__chain3	32.9	96.1	97.1	249	259	244	3.6400000000000004e-32	113.0
1ir3	1ir3_A	6pl1	6pl1__chain0	43.8	88.8	92.1	274	303	290	2.5799999999999998e-74	225.0
1ivc	1ivc_A	4gzp	4gzp__chain0	86.1	100.0	100.0	388	388	388	5.67e-265	716.0
1ive	1ive_A	4gzp	4gzp__chain0	86.1	100.0	100.0	388	388	388	5.67e-265	716.0
1j1b	1j1b_A	3i4b	3i4b__chain0	100.0	99.2	97.8	351	354	359	7.689999999999999e-263	707.0
1j3i	1j3i_A	3oaf	3oaf__chain0	30.7	80.7	91.4	189	223	186	1.8399999999999998e-23	88.2
1j3j	1j3j_B	3oaf	3oaf__chain0	33.0	81.0	91.4	185	216	186	5.61e-24	89.4
1j90	1j90_B	4q19	4q19__chain1	33.7	97.4	89.1	205	191	230	4.5e-41	134.0
1jir	1jir_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1jnh	1jnh_B	1qyg	1qyg__chain1	66.4	100.0	99.5	220	214	220	1.8700000000000001e-97	278.0
1jnn	1jnn_L	1q72	1q72__chain0	70.7	99.5	98.6	215	211	218	9.94e-108	303.0
1jqh	1jqh_A	5hu9	5hu9__chain0	45.4	89.7	93.2	262	291	266	3.8700000000000005e-70	213.0
1kij	1kij_A	4duh	4duh__chain0	46.1	52.6	99.5	204	384	195	1.29e-51	166.0
1kms	1kms_A	4g95	4g95__chain0	100.0	100.0	99.5	185	185	186	2.2e-138	379.0
1knu	1knu_A	5jy3	5jy3__chain0	31.4	69.8	80.3	194	265	228	1.5800000000000001e-21	85.1
1ksw	1ksw_A	3gvu	3gvu__chain0	50.6	57.3	93.7	261	450	271	6.07e-80	244.0
1kyn	1kyn_B	1v2k	1v2k__chain0	34.5	99.6	99.6	229	225	223	1.2e-36	123.0
1l2i	1l2i_B	4k4j	4k4j__chain0	31.4	96.1	99.1	226	231	214	7.67e-24	90.1
1l2j	1l2j_A	4k4j	4k4j__chain0	30.3	84.9	89.3	198	232	214	3.25e-18	75.1
1l5v	1l5v_A	3ebo	3ebo__chain0	44.7	95.9	94.3	777	796	810	1.21e-235	674.0
1l5w	1l5w_A	3ebo	3ebo__chain0	44.7	95.9	94.3	777	796	810	1.21e-235	674.0
1l7f	1l7f_A	5nze	5nze__chain0	49.3	97.7	97.4	381	388	387	1.96e-130	375.0
1l7g	1l7g_A	5nze	5nze__chain0	49.1	97.7	97.4	381	388	387	1.59e-129	372.0
1l7h	1l7h_A	5nze	5nze__chain0	49.1	97.7	97.4	381	388	387	5.59e-130	374.0
1ldn	1ldn_A	4aji	4aji__chain0	39.1	94.9	92.4	302	316	327	2.1200000000000002e-77	234.0
1lp4	1lp4_A	3pe1	3pe1__chain0	77.6	98.2	98.2	321	327	327	2.42e-194	532.0
1lth	1lth_T	4i8x	4i8x__chain1	40.6	96.5	91.2	303	313	331	1.03e-83	251.0
1ly3	1ly3_A	3oaf	3oaf__chain0	38.1	96.6	97.8	202	206	186	1.9400000000000002e-33	113.0
1ly4	1ly4_A	3oaf	3oaf__chain0	38.1	97.1	97.8	202	205	186	1.88e-33	113.0
1m01	1m01_A	1hp5	1hp5__chain0	100.0	100.0	100.0	499	499	499	0.0	1038.0
1m03	1m03_A	1hp5	1hp5__chain0	99.8	100.0	100.0	499	499	499	0.0	1036.0
1m04	1m04_A	1hp5	1hp5__chain0	99.8	100.0	100.0	499	499	499	0.0	1036.0
1m17	1m17_A	3ug2	3ug2__chain0	95.8	99.4	100.0	310	312	299	1.28e-215	584.0
1m52	1m52_B	4wa9	4wa9__chain0	99.6	99.6	98.2	271	272	276	4.3299999999999994e-207	560.0
1m78	1m78_A	3oaf	3oaf__chain0	32.8	94.8	95.7	189	192	186	4.98e-26	94.0
1m79	1m79_A	3oaf	3oaf__chain0	32.8	94.8	95.7	189	192	186	4.98e-26	94.0
1m7a	1m7a_A	3oaf	3oaf__chain0	32.8	94.8	95.7	189	192	186	4.98e-26	94.0
1mex	1mex_L	1q72	1q72__chain0	70.6	100.0	100.0	218	213	218	1.6e-109	308.0
1mkv	1mkv_A	4qem	4qem__chain0	43.2	86.2	79.3	111	123	121	7.86e-22	79.0
1moo	1moo_A	4qy3	4qy3__chain0	99.6	100.0	99.6	256	256	257	3.7099999999999994e-197	533.0
1mrd	1mrd_L	1q72	1q72__chain0	81.0	100.0	99.1	216	216	218	8.240000000000001e-129	357.0
1mrf	1mrf_L	1q72	1q72__chain0	81.0	100.0	99.1	216	216	218	8.240000000000001e-129	357.0
1mts	1mts_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1mtu	1mtu_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1mtv	1mtv_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1mtw	1mtw_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1mvs	1mvs_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
1mvt	1mvt_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
1mxf	1mxf_A	4bny	4bny__chain2	30.2	98.0	90.9	245	247	253	2.09e-17	73.9
1n2b	1n2b_A	3cow	3cow__chain0	100.0	100.0	100.0	286	286	286	1.09e-181	496.0
1n2e	1n2e_A	3coz	3coz__chain0	100.0	100.0	100.0	288	288	288	1.89e-183	501.0
1n2g	1n2g_A	4ddh	4ddh__chain0	100.0	100.0	100.0	289	289	289	7.130000000000001e-184	502.0
1n2h	1n2h_A	3coz	3coz__chain0	100.0	100.0	100.0	288	288	288	1.89e-183	501.0
1n2i	1n2i_B	4ef6	4ef6__chain0	100.0	100.0	99.0	287	287	290	3.24e-182	498.0
1n2j	1n2j_A	3iob	3iob__chain0	100.0	100.0	100.0	287	287	287	2.04e-182	498.0
1n55	1n55_A	2v2c	2v2c__chain0	70.2	99.6	99.6	248	249	249	6.37e-128	357.0
1n83	1n83_A	5vb5	5vb5__chain0	53.8	95.6	91.9	240	251	259	2.0500000000000003e-86	253.0
1nav	1nav_A	5jy3	5jy3__chain0	30.8	76.7	84.6	195	253	228	6.72e-30	107.0
1nc2	1nc2_B	1qyg	1qyg__chain1	68.3	100.0	100.0	224	219	220	5.89e-100	284.0
1nc4	1nc4_B	1qyg	1qyg__chain1	68.3	100.0	100.0	224	219	220	5.89e-100	284.0
1nd0	1nd0_A	1q72	1q72__chain0	78.0	99.5	100.0	218	219	218	8.48e-125	347.0
1nde	1nde_A	4k4j	4k4j__chain0	30.3	84.0	89.3	198	231	214	4.43e-18	74.7
1now	1now_A	1np0	1np0__chain0	100.0	100.0	100.0	480	480	480	0.0	998.0
1nrl	1nrl_B	5jy3	5jy3__chain0	31.8	68.4	82.5	195	275	228	5.16e-22	86.7
1o2e	1o2e_A	4qem	4qem__chain0	43.2	86.2	79.3	111	123	121	7.86e-22	79.0
1o2i	1o2i_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1o31	1o31_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1o3n	1o3n_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1o3o	1o3o_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1o5d	1o5d_H	3po1	3po1__chain2	41.0	37.4	93.1	100	254	102	2.07e-19	75.9
1o5x	1o5x_A	1lyx	1lyx__chain0	100.0	100.0	100.0	246	246	246	3.4100000000000003e-181	492.0
1o6k	1o6k_A	4z84	4z84__chain0	44.0	92.1	86.1	293	318	337	3.89e-89	265.0
1o6l	1o6l_A	4z84	4z84__chain0	44.0	92.4	86.1	293	317	337	1.51e-88	263.0
1o7a	1o7a_D	1np0	1np0__chain0	99.8	99.6	100.0	481	483	480	0.0	994.0
1o9u	1o9u_A	3i4b	3i4b__chain0	98.9	100.0	97.5	350	350	359	6.010000000000001e-259	697.0
1oax	1oax_H	1i7z	1i7z__chain1	51.6	100.0	54.1	122	122	220	1.48e-39	127.0
1ook	1ook_B	3po1	3po1__chain1	100.0	56.8	100.0	147	259	147	8.080000000000001e-110	308.0
1opj	1opj_A	3k5v	3k5v__chain0	99.7	100.0	100.0	287	287	286	9.98e-217	585.0
1opk	1opk_A	3k5v	3k5v__chain0	99.3	62.8	98.3	282	449	286	1.5300000000000002e-209	574.0
1opl	1opl_A	4wa9	4wa9__chain0	99.6	61.2	100.0	276	451	276	2.19e-207	568.0
1ot7	1ot7_A	5jy3	5jy3__chain0	36.6	83.0	85.1	194	229	228	9.909999999999999e-38	126.0
1oty	1oty_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1ou4	1ou4_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1oum	1oum_A	1pr5	1pr5__chain2	99.6	100.0	100.0	237	237	237	1.38e-171	467.0
1ov6	1ov6_A	1pr5	1pr5__chain2	99.6	100.0	100.0	237	237	237	1.38e-171	467.0
1ovg	1ovg_A	1pr5	1pr5__chain2	99.6	100.0	100.0	237	237	237	1.38e-171	467.0
1p1u	1p1u_A	1p1n	1p1n__chain0	100.0	100.0	100.0	258	258	258	1.06e-190	517.0
1p1w	1p1w_A	1p1n	1p1n__chain0	99.6	100.0	100.0	258	258	258	4.3099999999999997e-190	515.0
1p4f	1p4f_A	5aut	5aut__chain0	97.4	99.3	100.0	274	269	274	2.1e-190	517.0
1p5e	1p5e_A	2xnb	2xnb__chain0	99.3	99.7	99.3	296	297	296	2.27e-218	590.0
1p5z	1p5z_B	4q19	4q19__chain1	96.1	100.0	100.0	231	229	230	5.629999999999999e-165	449.0
1p60	1p60_B	4q19	4q19__chain1	95.7	100.0	100.0	231	225	230	1.1300000000000001e-163	446.0
1p61	1p61_B	4q19	4q19__chain1	96.1	100.0	100.0	231	229	230	5.629999999999999e-165	449.0
1p62	1p62_B	4q19	4q19__chain1	96.1	100.0	100.0	231	229	230	5.629999999999999e-165	449.0
1pax	1pax_A	3gjw	3gjw__chain0	86.6	100.0	100.0	350	350	350	1.45e-225	613.0
1pd9	1pd9_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
1pk7	1pk7_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1pk9	1pk9_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1pkd	1pkd_A	2xnb	2xnb__chain0	99.3	99.7	99.3	296	297	296	2.27e-218	590.0
1pke	1pke_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1pr0	1pr0_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1pr2	1pr2_A	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1pr4	1pr4_B	1pr5	1pr5__chain2	100.0	100.0	100.0	237	237	237	3.4e-172	468.0
1pr6	1pr6_B	1pr5	1pr5__chain1	99.6	100.0	100.0	233	233	233	4.64e-168	457.0
1pyx	1pyx_A	3i4b	3i4b__chain0	97.4	99.7	97.8	351	343	359	4.46e-250	675.0
1pzf	1pzf_C	4aji	4aji__chain0	30.1	96.3	94.5	319	326	327	2.93e-40	139.0
1pzh	1pzh_C	4aji	4aji__chain0	30.1	96.3	94.5	319	326	327	2.93e-40	139.0
1q0y	1q0y_H	1qyg	1qyg__chain1	61.2	99.5	99.5	219	215	220	1.06e-94	271.0
1qb7	1qb7_A	6hgr	6hgr__chain1	35.1	70.8	91.0	168	236	178	4.45e-21	82.0
1qds	1qds_A	2v2c	2v2c__chain0	70.2	99.2	99.6	248	250	249	6.62e-128	357.0
1qkm	1qkm_A	4k4j	4k4j__chain0	31.5	93.5	96.3	216	230	214	4.35e-19	77.4
1qy8	1qy8_A	6ey9	6ey9__chain0	55.6	91.6	96.6	207	225	207	1.39e-70	209.0
1qzf	1qzf_A	2w9h	2w9h__chain0	34.9	28.7	80.4	149	519	158	6.68e-12	58.5
1r0a	1r0a_L	1q72	1q72__chain0	69.9	100.0	99.1	216	211	218	4.6899999999999995e-106	299.0
1r1k	1r1k_A	4k4j	4k4j__chain0	44.2	99.6	99.1	240	241	214	3.0400000000000002e-65	197.0
1r20	1r20_A	4k4j	4k4j__chain0	44.4	100.0	99.1	239	239	214	2e-65	197.0
1r5k	1r5k_B	4k4j	4k4j__chain0	32.1	83.0	86.0	196	235	214	6.68e-20	79.7
1r6g	1r6g_A	4rak	4rak__chain0	32.1	80.3	79.2	193	239	236	2.1700000000000002e-29	105.0
1ra2	1ra2_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1ra3	1ra3_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1ra8	1ra8_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rb2	1rb2_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rb3	1rb3_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rc4	1rc4_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rd7	1rd7_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1re7	1re7_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rg7	1rg7_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rh3	1rh3_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1riu	1riu_H	1qyg	1qyg__chain1	100.0	100.0	100.0	220	220	220	3.5500000000000004e-161	439.0
1riv	1riv_H	1qyg	1qyg__chain1	100.0	100.0	100.0	220	220	220	3.5500000000000004e-161	439.0
1rj6	1rj6_A	4qy3	4qy3__chain0	35.7	99.6	99.6	263	259	257	4.2899999999999995e-46	150.0
1rk3	1rk3_A	5jy3	5jy3__chain0	35.2	81.2	82.5	196	239	228	3.45e-34	117.0
1rkg	1rkg_A	5jy3	5jy3__chain0	35.2	80.5	82.5	196	241	228	3.65e-34	117.0
1rkh	1rkh_A	5jy3	5jy3__chain0	35.2	80.2	82.5	196	242	228	3.7499999999999998e-34	117.0
1rx2	1rx2_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rx3	1rx3_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rx4	1rx4_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rx5	1rx5_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rx6	1rx6_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rx7	1rx7_A	2d0k	2d0k__chain0	95.6	99.4	99.4	158	159	159	2.48e-113	313.0
1rxc	1rxc_K	1odi	1odi__chain0	33.2	82.7	80.8	208	243	234	1.92e-26	97.8
1s0x	1s0x_A	5vb5	5vb5__chain0	53.8	95.6	91.9	240	251	259	2.0500000000000003e-86	253.0
1s0z	1s0z_A	5jy3	5jy3__chain0	36.1	76.7	82.5	194	253	228	7.84e-37	125.0
1s3u	1s3u_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
1s3v	1s3v_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
1s3w	1s3w_A	4g95	4g95__chain0	100.0	100.0	100.0	186	186	186	1.13e-138	379.0
1s3y	1s3y_A	3oaf	3oaf__chain0	38.1	96.6	97.8	202	206	186	1.9400000000000002e-33	113.0
1s5s	1s5s_A	1c5s	1c5s__chain0	82.1	100.0	100.0	223	223	223	2.5199999999999998e-142	392.0
1s6h	1s6h_A	1c5s	1c5s__chain0	82.1	100.0	100.0	223	223	223	2.5199999999999998e-142	392.0
1s7y	1s7y_B	5neb	5neb__chain0	87.3	100.0	97.7	251	251	256	2.5800000000000002e-166	455.0
1s83	1s83_A	1c5s	1c5s__chain0	82.1	100.0	100.0	223	223	223	2.5199999999999998e-142	392.0
1s9i	1s9i_B	6nfy	6nfy__chain1	30.1	90.0	91.9	276	291	285	8.970000000000001e-35	122.0
1s9j	1s9j_A	6nfy	6nfy__chain1	31.0	91.7	91.9	274	289	285	2.62e-38	131.0
1s9p	1s9p_D	4k4j	4k4j__chain0	34.2	85.3	90.2	193	225	214	1.48e-35	120.0
1s9q	1s9q_A	4k4j	4k4j__chain0	34.2	85.3	90.2	193	224	214	8.72e-34	115.0
1sd3	1sd3_A	5neb	5neb__chain0	87.3	100.0	97.7	251	251	256	2.5800000000000002e-166	455.0
1sej	1sej_A	2w9h	2w9h__chain0	34.9	28.7	80.4	149	519	158	6.68e-12	58.5
1sn0	1sn0_A	6gnw	6gnw__chain1	100.0	98.3	100.0	116	118	116	1.6999999999999999e-84	237.0
1sn5	1sn5_A	6gnw	6gnw__chain1	100.0	98.3	100.0	116	118	116	1.6999999999999999e-84	237.0
1sow	1sow_A	4aji	4aji__chain0	30.6	97.8	95.1	320	322	327	1.71e-42	144.0
1ssg	1ssg_A	2v2c	2v2c__chain0	53.6	95.5	95.6	239	247	249	1.37e-83	245.0
1su5	1su5_A	2v2c	2v2c__chain0	53.1	95.5	95.6	239	247	249	1.94e-83	244.0
1sw0	1sw0_A	2v2c	2v2c__chain0	53.1	95.5	95.6	239	247	249	1.5799999999999998e-82	242.0
1sw3	1sw3_A	2v2c	2v2c__chain0	54.0	95.5	95.6	239	247	249	8.4e-85	248.0
1sw7	1sw7_A	2v2c	2v2c__chain0	53.1	96.3	95.6	239	245	249	2.56e-83	244.0
1t24	1t24_A	4i8x	4i8x__chain1	32.7	94.6	89.4	303	315	331	5e-45	151.0
1t25	1t25_A	4i8x	4i8x__chain1	32.7	94.6	89.4	303	315	331	5e-45	151.0
1t26	1t26_A	4i8x	4i8x__chain1	32.7	94.6	89.4	303	315	331	5e-45	151.0
1t2d	1t2d_A	4i8x	4i8x__chain1	32.7	94.6	89.4	303	315	331	5e-45	151.0
1t2e	1t2e_A	4i8x	4i8x__chain1	32.7	94.0	89.4	303	317	331	2.04e-44	149.0
1t2f	1t2f_A	4aj4	4aj4__chain1	76.1	99.4	99.7	330	332	330	2.01e-188	517.0
1t4g	1t4g_A	4b2i	4b2i__chain0	51.9	76.6	100.0	233	299	220	3.51e-75	224.0
1t66	1t66_H	1qyg	1qyg__chain1	81.4	99.1	100.0	221	220	220	4.0299999999999995e-126	350.0
1tgv	1tgv_B	1odi	1odi__chain0	33.2	83.1	80.8	208	242	234	1.8700000000000002e-26	97.8
1tgy	1tgy_A	1odi	1odi__chain0	31.2	92.0	93.2	237	250	234	2.91e-28	102.0
1tio	1tio_A	1c5s	1c5s__chain0	100.0	100.0	100.0	223	223	223	1.45e-166	453.0
1tt6	1tt6_A	3cfn	3cfn__chain0	100.0	100.0	100.0	115	115	115	1.9899999999999998e-82	231.0
1tww	1tww_A	4d8z	4d8z__chain0	98.5	100.0	100.0	266	266	263	5.65e-187	508.0
1twz	1twz_A	4d8z	4d8z__chain0	98.5	100.0	100.0	266	266	263	5.65e-187	508.0
