split,split_index,family,pocket_rel,ligand_rel,vina_stage,vina_energy
train,5531,MCL1_HUMAN_171_326_0,MCL1_HUMAN_171_326_0/4zbf_C_rec_3wix_lc3_lig_tt_min_0_pocket10.pdb,MCL1_HUMAN_171_326_0/4zbf_C_rec_3wix_lc3_lig_tt_min_0.sdf,minimize,0.142
train,1394,FPPS_HUMAN_69_419_catalytic_0,FPPS_HUMAN_69_419_catalytic_0/3cp6_A_rec_4qpf_39l_lig_tt_docked_1_pocket10.pdb,FPPS_HUMAN_69_419_catalytic_0/3cp6_A_rec_4qpf_39l_lig_tt_docked_1.sdf,score_only,53.872
train,11437,PPARD_HUMAN_169_441_0,PPARD_HUMAN_169_441_0/5u3z_A_rec_5u3q_7uj_lig_tt_docked_0_pocket10.pdb,PPARD_HUMAN_169_441_0/5u3z_A_rec_5u3q_7uj_lig_tt_docked_0.sdf,score_only,46.688
train,50016,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3glz_A_rec_5e4o_l57_lig_tt_min_0_pocket10.pdb,TTHY_HUMAN_21_147_0/3glz_A_rec_5e4o_l57_lig_tt_min_0.sdf,score_only,36.613
train,96674,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3p3s_A_rec_5e4a_5jw_lig_tt_min_0_pocket10.pdb,TTHY_HUMAN_21_147_0/3p3s_A_rec_5e4a_5jw_lig_tt_min_0.sdf,score_only,33.055
train,63305,HYES_HUMAN_230_551_0,HYES_HUMAN_230_551_0/5alf_A_rec_4y2q_49n_lig_tt_min_0_pocket10.pdb,HYES_HUMAN_230_551_0/5alf_A_rec_4y2q_49n_lig_tt_min_0.sdf,score_only,29.943
train,27622,OBP_BOVIN_1_159_0,OBP_BOVIN_1_159_0/1gt1_A_rec_1gt5_bzq_lig_tt_min_0_pocket10.pdb,OBP_BOVIN_1_159_0/1gt1_A_rec_1gt5_bzq_lig_tt_min_0.sdf,score_only,27.981
train,55412,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3p3s_A_rec_3gs4_7bd_lig_tt_docked_14_pocket10.pdb,TTHY_HUMAN_21_147_0/3p3s_A_rec_3gs4_7bd_lig_tt_docked_14.sdf,score_only,26.092
train,25172,GYRB_STAAU_6_233_0,GYRB_STAAU_6_233_0/5cty_B_rec_5d7r_57y_lig_tt_min_0_pocket10.pdb,GYRB_STAAU_6_233_0/5cty_B_rec_5d7r_57y_lig_tt_min_0.sdf,score_only,21.899
train,89171,JAK2_HUMAN_834_1132_0,JAK2_HUMAN_834_1132_0/3e63_A_rec_3tjc_0tp_lig_it1_it2_tt_docked_4_pocket10.pdb,JAK2_HUMAN_834_1132_0/3e63_A_rec_3tjc_0tp_lig_it1_it2_tt_docked_4.sdf,score_only,21.287
train,65223,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/3p3s_A_rec_1u21_p2c_lig_tt_docked_4_pocket10.pdb,TTHY_HUMAN_21_147_0/3p3s_A_rec_1u21_p2c_lig_tt_docked_4.sdf,score_only,20.801
train,187,COMT_MOUSE_44_264_0,COMT_MOUSE_44_264_0/3nw9_A_rec_3nw9_637_lig_tt_min_0_pocket10.pdb,COMT_MOUSE_44_264_0/3nw9_A_rec_3nw9_637_lig_tt_min_0.sdf,score_only,6.678
train,61892,CSK21_HUMAN_1_335_ATPsite_0,CSK21_HUMAN_1_335_ATPsite_0/5mpj_A_rec_5nqc_1kp_lig_tt_min_0_pocket10.pdb,CSK21_HUMAN_1_335_ATPsite_0/5mpj_A_rec_5nqc_1kp_lig_tt_min_0.sdf,score_only,6.348
train,92699,AURKA_HUMAN_122_397_0,AURKA_HUMAN_122_397_0/4byi_A_rec_3k5u_pfq_lig_tt_docked_6_pocket10.pdb,AURKA_HUMAN_122_397_0/4byi_A_rec_3k5u_pfq_lig_tt_docked_6.sdf,score_only,5.491
train,93040,TRPD_MYCTU_9_370_0,TRPD_MYCTU_9_370_0/4ows_A_rec_3uu1_14b_lig_it2_tt_docked_6_pocket10.pdb,TRPD_MYCTU_9_370_0/4ows_A_rec_3uu1_14b_lig_it2_tt_docked_6.sdf,score_only,4.446
train,90738,GYRB_ECOLI_7_220_0,GYRB_ECOLI_7_220_0/4pu9_A_rec_1ei1_anp_lig_tt_docked_0_pocket10.pdb,GYRB_ECOLI_7_220_0/4pu9_A_rec_1ei1_anp_lig_tt_docked_0.sdf,score_only,4.373
train,76098,CHK2_HUMAN_210_526_0,CHK2_HUMAN_210_526_0/2w7x_A_rec_2w7x_d1a_lig_tt_min_0_pocket10.pdb,CHK2_HUMAN_210_526_0/2w7x_A_rec_2w7x_d1a_lig_tt_min_0.sdf,score_only,4.189
train,25496,RADA_PYRFU_107_349_0,RADA_PYRFU_107_349_0/4b32_A_rec_4b32_03v_lig_tt_min_0_pocket10.pdb,RADA_PYRFU_107_349_0/4b32_A_rec_4b32_03v_lig_tt_min_0.sdf,score_only,3.926
train,32703,TTHY_HUMAN_21_147_0,TTHY_HUMAN_21_147_0/4hiq_A_rec_5jid_8pf_lig_tt_docked_5_pocket10.pdb,TTHY_HUMAN_21_147_0/4hiq_A_rec_5jid_8pf_lig_tt_docked_5.sdf,score_only,2.892
train,68937,CSK21_HUMAN_1_335_ATPsite_0,CSK21_HUMAN_1_335_ATPsite_0/5mot_A_rec_3mb7_14i_lig_tt_docked_5_pocket10.pdb,CSK21_HUMAN_1_335_ATPsite_0/5mot_A_rec_3mb7_14i_lig_tt_docked_5.sdf,score_only,0.886
train,26222,BRD4_HUMAN_42_168_0,BRD4_HUMAN_42_168_0/4hxl_A_rec_5u2f_82y_lig_tt_min_0_pocket10.pdb,BRD4_HUMAN_42_168_0/4hxl_A_rec_5u2f_82y_lig_tt_min_0.sdf,score_only,0.838
train,4274,COMT_MOUSE_44_264_0,COMT_MOUSE_44_264_0/5k0j_A_rec_3hvi_619_lig_tt_docked_0_pocket10.pdb,COMT_MOUSE_44_264_0/5k0j_A_rec_3hvi_619_lig_tt_docked_0.sdf,score_only,0.736
train,2455,KC1D_HUMAN_1_302_0,KC1D_HUMAN_1_302_0/4hnf_B_rec_5w4w_9wg_lig_tt_min_0_pocket10.pdb,KC1D_HUMAN_1_302_0/4hnf_B_rec_5w4w_9wg_lig_tt_min_0.sdf,score_only,0.664
train,5531,MCL1_HUMAN_171_326_0,MCL1_HUMAN_171_326_0/4zbf_C_rec_3wix_lc3_lig_tt_min_0_pocket10.pdb,MCL1_HUMAN_171_326_0/4zbf_C_rec_3wix_lc3_lig_tt_min_0.sdf,score_only,0.142
train,86406,ESR1_HUMAN_300_553_0,ESR1_HUMAN_300_553_0/1uom_A_rec_5fqt_7qn_lig_tt_docked_0_pocket10.pdb,ESR1_HUMAN_300_553_0/1uom_A_rec_5fqt_7qn_lig_tt_docked_0.sdf,score_only,0.024
