pdb_id,required_split,reasons
1k1l,test,binding_affinity_test
1k1m,test,binding_affinity_test
1k1n,test,binding_affinity_test
1k1o,test,binding_affinity_test
1k9t,test,crossdocked2020_test_receptor
1kbo,test,crossdocked2020_test_ligand_source
1kel,val,binding_affinity_val
1kv5,test,binding_affinity_test
1kzn,test,binding_affinity_test
1l3l,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1lke,val,binding_affinity_val
1ll4,val,binding_affinity_val
1lnm,val,binding_affinity_val
1lpg,val,binding_affinity_val
1lpk,val,binding_affinity_val
1lpz,val,binding_affinity_val
1lqd,val,binding_affinity_val
1lqe,test,binding_affinity_test
1lyx,test,binding_affinity_test
1lzo,test,binding_affinity_test
1m4h,test,binding_affinity_test
1m9n,test,binding_affinity_test
1mh5,val,binding_affinity_val
1mhw,val,binding_affinity_val
1mj7,val,binding_affinity_val
1mjj,val,binding_affinity_val
1ml1,test,binding_affinity_test
1n0s,val,binding_affinity_val
1n7m,val,binding_affinity_val
1ngw,val,binding_affinity_val
1nhz,val,binding_affinity_val
1njf,test,binding_affinity_test
1np0,test,binding_affinity_test
1nvq,test,binding_affinity_test
1nvr,test,binding_affinity_test
1nw5,val,binding_affinity_val
1nw7,val,binding_affinity_val
1o2g,test,binding_affinity_test
1o2h,test,binding_affinity_test
1o2j,test,binding_affinity_test
1o2k,test,binding_affinity_test
1o2n,test,binding_affinity_test
1o2o,test,binding_affinity_test
1o2p,test,binding_affinity_test
1o2q,test,binding_affinity_test
1o2r,test,binding_affinity_test
1o2s,test,binding_affinity_test
1o2t,test,binding_affinity_test
1o2z,test,binding_affinity_test
1o30,test,binding_affinity_test
1o32,test,binding_affinity_test
1o33,test,binding_affinity_test
1o34,test,binding_affinity_test
1o35,test,binding_affinity_test
1o36,test,binding_affinity_test
1o38,test,binding_affinity_test
1o39,test,binding_affinity_test
1o3b,test,binding_affinity_test
1o3c,test,binding_affinity_test
1o3d,test,binding_affinity_test
1o3e,test,binding_affinity_test
1o3f,test,binding_affinity_test
1o3p,test,binding_affinity_test
1o5a,test,binding_affinity_test
1o5c,test,binding_affinity_test
1o5e,test,binding_affinity_test
1o5f,test,binding_affinity_test
1o5g,test,binding_affinity_test
1o6i,val,binding_affinity_val
1o79,test,crossdocked2020_test_ligand_source
1oar,val,binding_affinity_val
1oau,val,binding_affinity_val
1oay,val,binding_affinity_val
1odi,test,binding_affinity_test
1odj,test,binding_affinity_test
1ogg,val,binding_affinity_val
1ow4,test,binding_affinity_test
1owe,test,binding_affinity_test
1owh,test,binding_affinity_test
1owi,test,binding_affinity_test
1owj,test,binding_affinity_test
1owk,test,binding_affinity_test
1oyq,test,binding_affinity_test
1oyt,test,binding_affinity_test
1oz0,test,binding_affinity_test
1ozv,val,binding_affinity_val
1p0y,val,binding_affinity_val
1p1n,test,binding_affinity_test
1p1o,test,binding_affinity_test
1p1q,test,binding_affinity_test
1p4r,test,binding_affinity_test
1p57,test,binding_affinity_test
1p93,val,binding_affinity_val
1pf8,test,binding_affinity_test
1phk,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1pkx,test,binding_affinity_test
1pl0,test,binding_affinity_test
1pr1,test,binding_affinity_test
1pr5,test,binding_affinity_test
1pxm,test,binding_affinity_test
1pxn,test,binding_affinity_test
1pxp,test,binding_affinity_test
1q4l,test,binding_affinity_test
1q72,test,binding_affinity_test
1q8t,test,binding_affinity_test
1q8u,test,binding_affinity_test
1q8w,test,binding_affinity_test
1qbo,test,binding_affinity_test
1qkt,val,binding_affinity_val
1qku,val,binding_affinity_val
1qng,val,binding_affinity_val
1qnh,val,binding_affinity_val
1qyg,test,binding_affinity_test
1r1h,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
1rs9,test,crossdocked2020_test_receptor
1s4d,val,binding_affinity_val
1s5z,val,binding_affinity_val
1s89,val,binding_affinity_val
1sb1,test,binding_affinity_test
1smj,test,crossdocked2020_test_ligand_source
1sqn,val,binding_affinity_val
1sqo,test,binding_affinity_test
1sqt,test,binding_affinity_test
1syh,test,binding_affinity_test
1syi,test,binding_affinity_test
1syo,test,binding_affinity_test
1sz0,test,binding_affinity_test
1t79,val,binding_affinity_val
1t7f,val,binding_affinity_val
1t7r,val,binding_affinity_val
1tco,test,crossdocked2020_test_ligand_source
1thz,test,binding_affinity_test
1tvo,test,binding_affinity_test
1tx7,test,binding_affinity_test
1u6q,test,binding_affinity_test
1ua4,test,binding_affinity_test
1umb,test,crossdocked2020_test_ligand_source
1umd,test,crossdocked2020_test_receptor
1utj,val,binding_affinity_val
1utl,val,binding_affinity_val
1utn,test,binding_affinity_test
1uto,test,binding_affinity_test
1v2k,test,binding_affinity_test
1v2n,test,binding_affinity_test
1v2o,test,binding_affinity_test
1v2p,test,binding_affinity_test
1v2q,test,binding_affinity_test
1v2r,test,binding_affinity_test
1v2t,test,binding_affinity_test
1v2w,test,binding_affinity_test
1val,test,crossdocked2020_test_ligand_source
1vjd,test,binding_affinity_test
1vso,val,binding_affinity_val
1vzq,val,binding_affinity_val
1w2g,val,binding_affinity_val
1w2h,val,binding_affinity_val
1w7g,val,binding_affinity_val
1w9u,val,binding_affinity_val
1w9v,val,binding_affinity_val
1wn6,test,crossdocked2020_test_ligand_source
1wvj,test,binding_affinity_test
1xa5,test,binding_affinity_test
1xbb,test,binding_affinity_test
1xhy,test,binding_affinity_test
1xk9,test,binding_affinity_test
1xkk,test,binding_affinity_test
1xo2,test,crossdocked2020_test_ligand_source
1xws,test,binding_affinity_test
1xxh,test,binding_affinity_test
1xxi,test,binding_affinity_test
1y0l,val,binding_affinity_val
1y3v,test,binding_affinity_test
1y3w,test,binding_affinity_test
1y3x,test,binding_affinity_test
1ydr,test,binding_affinity_test
1yds,test,binding_affinity_test
1yp9,test,binding_affinity_test
1ype,test,binding_affinity_test
1ypg,test,binding_affinity_test
1ypj,test,binding_affinity_test
1z6e,test,binding_affinity_test
1zea,val,binding_affinity_val
1zj1,test,crossdocked2020_test_ligand_source
1zky,val,binding_affinity_val
20gs,test,crossdocked2020_test_ligand_source
2a14,val,binding_affinity_val
2a3c,val,binding_affinity_val
2adm,val,binding_affinity_val
2afx,test,crossdocked2020_test_ligand_source
2al5,test,binding_affinity_test
2azy,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
2b1g,test,binding_affinity_test
2b1i,test,binding_affinity_test
2baj,val,binding_affinity_val
2bak,val,binding_affinity_val
2bal,test,binding_affinity_test
2bj4,val,binding_affinity_val
2bmg,val,binding_affinity_val
2boh,val,binding_affinity_val
2bq6,val,binding_affinity_val
2bq7,val,binding_affinity_val
2bqw,val,binding_affinity_val
2br1,test,binding_affinity_test
2brb,test,binding_affinity_test
2brm,test,binding_affinity_test
2byp,test,binding_affinity_test
2byr,test,binding_affinity_test
2bys,test,binding_affinity_test
2bza,test,binding_affinity_test
2c1p,val,binding_affinity_val
2c3i,test,binding_affinity_test
2c3j,test,binding_affinity_test
2c3k,test,binding_affinity_test
2c3l,test,binding_affinity_test
2c6o,test,binding_affinity_test
2cbj,test,binding_affinity_test
2cf8,val,binding_affinity_val
2cf9,val,binding_affinity_val
2cgf,val,binding_affinity_val
2cji,test,binding_affinity_test
2clx,test,binding_affinity_test
2cn0,val,binding_affinity_val
2cvd,test,binding_affinity_test
2cy0,test,crossdocked2020_test_receptor
2d0k,test,binding_affinity_test
2d5c,test,crossdocked2020_test_ligand_source
2e24,test,crossdocked2020_test_receptor
2e27,val,binding_affinity_val
2e2p,test,binding_affinity_test
2e6d,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
2epn,test,binding_affinity_test
2esm,test,binding_affinity_test
2etk,test,binding_affinity_test
2etr,test,binding_affinity_test
2ewy,test,crossdocked2020_test_ligand_source
2f2c,test,crossdocked2020_test_receptor
2f34,val,binding_affinity_val
2f35,val,binding_affinity_val
2fai,val,binding_affinity_val
2fb8,test,binding_affinity_test
2fdp,test,binding_affinity_test
2fgi,val,binding_affinity_val
2fl5,val,binding_affinity_val
2fpz,test,binding_affinity_test
2fvd,test,binding_affinity_test
2fx6,test,binding_affinity_test
2fx8,val,binding_affinity_val
2fx9,val,binding_affinity_val
2fxs,val,binding_affinity_val
2fzz,test,binding_affinity_test
2g00,test,binding_affinity_test
2g2r,val,binding_affinity_val
2gl0,test,binding_affinity_test
2gns,test,crossdocked2020_test_receptor
2gvv,test,crossdocked2020_test_ligand_source
2h13,test,binding_affinity_test
2h21,val,binding_affinity_val
2h23,val,binding_affinity_val
2h2e,val,binding_affinity_val
2h2j,val,binding_affinity_val
2hcj,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
2hvc,val,binding_affinity_val
2i4t,val,binding_affinity_val
2ihq,val,binding_affinity_val
2isc,val,binding_affinity_val
2ito,test,binding_affinity_test
2itp,val,binding_affinity_val
2itt,test,binding_affinity_test
2ity,test,binding_affinity_test
2itz,test,binding_affinity_test
2iux,test,crossdocked2020_test_ligand_source
2iuz,val,binding_affinity_val
2iws,val,binding_affinity_val
2iwu,val,binding_affinity_val
2iwx,val,binding_affinity_val
2j27,test,binding_affinity_test
2j2u,test,binding_affinity_test
2j34,test,binding_affinity_test
2j4i,test,binding_affinity_test
2j62,test,binding_affinity_test
2j6m,val,binding_affinity_val
2j94,test,binding_affinity_test
2j95,test,binding_affinity_test
2jb5,val,binding_affinity_val
2jds,test,binding_affinity_test
2jdv,test,binding_affinity_test
2jh0,test,binding_affinity_test
2jh5,test,binding_affinity_test
2jh6,test,binding_affinity_test
2jiu,val,binding_affinity_val
2jiw,val,binding_affinity_val
2jjg,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
2jkh,test,binding_affinity_test
2nsi,test,crossdocked2020_test_ligand_source
2ntf,val,binding_affinity_val
2nw4,val,binding_affinity_val
2o0u,val,binding_affinity_val
2o2u,val,binding_affinity_val
2ohl,test,binding_affinity_test
2oiq,val,binding_affinity_val
2ojg,test,binding_affinity_test
2oji,test,binding_affinity_test
2ojj,test,binding_affinity_test
2ok1,val,binding_affinity_val
2oxn,test,binding_affinity_test;crossdocked2020_test_ligand_source
2oz7,val,binding_affinity_val
2p15,val,binding_affinity_val
2p16,test,binding_affinity_test
2p2a,val,binding_affinity_val
2p4j,test,binding_affinity_test
2p7a,val,binding_affinity_val
2p7g,val,binding_affinity_val
2p7z,val,binding_affinity_val
2p93,test,binding_affinity_test
2p94,test,binding_affinity_test
2p95,test,binding_affinity_test
2pbw,val,binding_affinity_val
2pc8,test,crossdocked2020_test_receptor
2pcp,val,binding_affinity_val
2pgz,test,binding_affinity_test
2pl0,val,binding_affinity_val
2pog,val,binding_affinity_val
2pqw,test,crossdocked2020_test_receptor
2psx,test,binding_affinity_test
2qbu,val,binding_affinity_val
2qmg,test,binding_affinity_test
2qrk,test,binding_affinity_test
2qrl,test,binding_affinity_test
2qu5,val,binding_affinity_val
2qu6,val,binding_affinity_val
2r0z,val,binding_affinity_val
2r1w,val,binding_affinity_val
2r2m,test,binding_affinity_test
2r2w,test,binding_affinity_test
2r5b,test,binding_affinity_test
2r5d,test,binding_affinity_test
2rcb,test,binding_affinity_test
2rhy,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
2rin,test,binding_affinity_test
2rma,test,crossdocked2020_test_receptor
2uwd,test,binding_affinity_test
2uwl,test,binding_affinity_test
2uwo,test,binding_affinity_test
2uwp,test,binding_affinity_test
2uy3,val,binding_affinity_val
2uy4,val,binding_affinity_val
2uy5,val,binding_affinity_val
2v2c,test,binding_affinity_test
2v2h,test,binding_affinity_test
2v3r,test,crossdocked2020_test_receptor
2vc9,test,binding_affinity_test
2vcb,test,binding_affinity_test
2vkm,test,binding_affinity_test
2vvc,test,binding_affinity_test
2vvn,test,binding_affinity_test
2vvs,test,binding_affinity_test
2vw5,val,binding_affinity_val
2vwc,val,binding_affinity_val
2vx9,val,binding_affinity_val
2vxa,val,binding_affinity_val
2vxn,val,binding_affinity_val
2w26,test,binding_affinity_test
2w4x,val,binding_affinity_val
2w66,test,binding_affinity_test
2w67,test,binding_affinity_test
2w8f,test,binding_affinity_test
2w8g,test,binding_affinity_test
2w8y,val,binding_affinity_val
2w9h,test,binding_affinity_test
2wb5,test,binding_affinity_test
2wca,val,binding_affinity_val
2wd7,test,binding_affinity_test
2weq,val,binding_affinity_val
2wer,val,binding_affinity_val
2wfj,val,binding_affinity_val
2wgj,val,binding_affinity_val
2wk2,val,binding_affinity_val
2wky,val,binding_affinity_val
2wly,val,binding_affinity_val
2wlz,test,binding_affinity_val;crossdocked2020_test_ligand_source
2wm0,val,binding_affinity_val
2wn9,test,binding_affinity_test
2wnc,test,binding_affinity_test
2wnj,test,binding_affinity_test
2wnl,test,binding_affinity_test
2wp1,val,binding_affinity_val
2wr8,val,binding_affinity_val
2wtv,test,binding_affinity_test
2wtw,test,binding_affinity_test
2wzy,val,binding_affinity_val
2x00,test,binding_affinity_test
2x2c,val,binding_affinity_val
2xab,test,binding_affinity_test
2xah,test,binding_affinity_test
2xaj,test,binding_affinity_test
2xaq,test,binding_affinity_test
2xas,test,binding_affinity_test
2xb7,val,binding_affinity_val
2xba,val,binding_affinity_val
2xca,test,crossdocked2020_test_ligand_source
2xde,test,binding_affinity_test
2xdk,test,binding_affinity_test
2xdl,test,binding_affinity_test
2xdx,test,binding_affinity_test
2xhr,test,binding_affinity_test
2xht,test,binding_affinity_test
2xhx,test,binding_affinity_test
2xj1,test,binding_affinity_test
2xj2,test,binding_affinity_test
2xj7,val,binding_affinity_val
2xjg,test,binding_affinity_test
2xjj,test,binding_affinity_test
2xjx,test,binding_affinity_test
2xm1,test,binding_affinity_test
2xm2,test,binding_affinity_test
2xmy,test,binding_affinity_test
2xn5,val,binding_affinity_val
2xnb,test,binding_affinity_test
2xpk,test,binding_affinity_test
2xyn,val,binding_affinity_val
2xys,test,binding_affinity_test
2xyt,test,binding_affinity_test
2xz5,test,binding_affinity_test
2y1w,val,binding_affinity_val
2y54,test,binding_affinity_test
2y56,test,binding_affinity_test
2y57,test,binding_affinity_test
2y58,test,binding_affinity_test
2y8l,test,binding_affinity_test
2y8q,test,binding_affinity_test
2y9q,test,binding_affinity_test
2ybu,val,binding_affinity_val
2yfx,val,binding_affinity_val
2yga,val,binding_affinity_val
2yge,val,binding_affinity_val
2ygf,test,binding_affinity_test
2yi5,test,binding_affinity_test
2yix,test,binding_affinity_test
2yk1,test,binding_affinity_test
2yki,test,binding_affinity_test
2yme,test,binding_affinity_test
2z3h,test,crossdocked2020_test_receptor
2z6w,test,binding_affinity_test
2z92,val,binding_affinity_val
2zaz,test,binding_affinity_test
2zb0,test,binding_affinity_test
2zb1,test,binding_affinity_test
2zc9,test,binding_affinity_test
2zda,test,binding_affinity_test
2zdk,test,binding_affinity_test
2zdl,test,binding_affinity_test
2zdm,test,binding_affinity_test
2zdn,test,binding_affinity_test
2zen,test,crossdocked2020_test_receptor
2zfp,test,binding_affinity_test
2zfs,test,binding_affinity_test
2zft,test,binding_affinity_test
2zgx,test,binding_affinity_test
2zhd,test,binding_affinity_test
2zif,val,binding_affinity_val
2zju,test,binding_affinity_test
2zjv,test,binding_affinity_test
2zmd,test,binding_affinity_test
2znt,val,binding_affinity_val
2znu,val,binding_affinity_val
2zo3,val,binding_affinity_val
2zpk,val,binding_affinity_val
2zq1,test,binding_affinity_test
2zq2,test,binding_affinity_test
3a2c,test,binding_affinity_test
3af2,test,crossdocked2020_test_receptor
3af4,test,crossdocked2020_test_ligand_source
3ag9,test,binding_affinity_test
3agl,test,binding_affinity_test
3agm,test,binding_affinity_test
3ama,test,binding_affinity_test
3amb,test,binding_affinity_test
3anq,test,binding_affinity_test
3aox,val,binding_affinity_val
3arp,val,binding_affinity_val
3arq,val,binding_affinity_val
3arr,val,binding_affinity_val
3arw,val,binding_affinity_val
3arx,val,binding_affinity_val
3axz,test,binding_affinity_test
3ay0,test,binding_affinity_test
3b24,test,binding_affinity_test
3b25,test,binding_affinity_test
3b26,test,binding_affinity_test
3b27,test,binding_affinity_test
3b28,test,binding_affinity_test
3b6h,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
3bbt,val,binding_affinity_val
3bc3,val,binding_affinity_val
3bex,test,binding_affinity_test
3bf1,test,binding_affinity_test
3bft,test,binding_affinity_test
3bfu,test,binding_affinity_test
3bgq,test,binding_affinity_test
3bgz,test,binding_affinity_test
3bmn,test,binding_affinity_test
3bmo,test,binding_affinity_test
3bmq,test,binding_affinity_test
3bqc,val,binding_affinity_val
3bv9,test,binding_affinity_test
3bwj,test,binding_affinity_test
3c39,test,binding_affinity_test
3c49,test,binding_affinity_test
3c4h,test,binding_affinity_test
3c79,test,binding_affinity_test
3c84,test,binding_affinity_test
3ce0,test,binding_affinity_test
3cen,test,binding_affinity_test
3cfn,test,binding_affinity_test
3cft,val,binding_affinity_val
3ch9,test,crossdocked2020_test_ligand_source
3chc,test,crossdocked2020_test_receptor
3ckp,test,binding_affinity_test
3ckr,test,binding_affinity_test
3ckz,test,binding_affinity_test
3cl0,test,binding_affinity_test
3cl2,test,binding_affinity_test
3cow,test,binding_affinity_test
3coy,test,binding_affinity_test
3coz,test,binding_affinity_test
3cs7,test,binding_affinity_test
3d0e,val,binding_affinity_val
3d7z,test,binding_affinity_test
3d83,test,binding_affinity_test
3d94,test,binding_affinity_test
3d9v,test,binding_affinity_test
3da9,test,binding_affinity_test
3daf,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
3dhk,val,binding_affinity_val
3dnd,test,binding_affinity_test
3dne,test,binding_affinity_test
3dux,test,binding_affinity_test
3dzh,test,crossdocked2020_test_receptor
3e5a,val,binding_affinity_val
3e64,test,binding_affinity_test
3e92,test,binding_affinity_test
3e93,test,binding_affinity_test
3ebo,test,binding_affinity_test
3ebp,test,binding_affinity_test
3efj,val,binding_affinity_val
3efk,val,binding_affinity_val
3egk,test,binding_affinity_test
3eig,test,binding_affinity_test
3ej8,test,crossdocked2020_test_receptor
3eko,test,binding_affinity_test
3ekr,test,binding_affinity_test
3emg,test,binding_affinity_test
3eov,val,binding_affinity_val
3eys,val,binding_affinity_val
3eyu,val,binding_affinity_val
3f0r,test,binding_affinity_test
3f3t,val,binding_affinity_val
3f3u,val,binding_affinity_val
3f3v,val,binding_affinity_val
3f68,test,binding_affinity_test
3f82,val,binding_affinity_val
3faa,test,binding_affinity_test
3fat,test,binding_affinity_test
3ffg,test,binding_affinity_test
3fhb,test,binding_affinity_test
3fl5,val,binding_affinity_val
3fmz,test,binding_affinity_test
3fqe,test,binding_affinity_test
3fv1,val,binding_affinity_val
3fv2,val,binding_affinity_val
3fvg,val,binding_affinity_val
3fvk,val,binding_affinity_val
3fvn,val,binding_affinity_val
3g0e,val,binding_affinity_val
3g0f,val,binding_affinity_val
3g0w,val,binding_affinity_val
3g2v,test,binding_affinity_test
3g51,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
3g5d,val,binding_affinity_val
3g6m,val,binding_affinity_val
3g90,test,binding_affinity_test
3g9l,val,binding_affinity_val
3g9n,test,binding_affinity_test
3gba,val,binding_affinity_val
3gbb,val,binding_affinity_val
3gcp,val,binding_affinity_val
3gcq,val,binding_affinity_val
3gcs,val,binding_affinity_val
3gcu,val,binding_affinity_val
3gcv,val,binding_affinity_val
3gfw,test,binding_affinity_test
3gjw,test,binding_affinity_test
3gkz,val,binding_affinity_val
3gm0,val,binding_affinity_val
3gn7,test,binding_affinity_test
3gp0,val,binding_affinity_val
3gs6,test,binding_affinity_test;crossdocked2020_test_receptor
3gsm,test,binding_affinity_test
3gvu,test,binding_affinity_test
3gy2,test,binding_affinity_test
3gy3,test,binding_affinity_test
3gy4,test,binding_affinity_test
3h30,val,binding_affinity_val
3h52,val,binding_affinity_val
3h78,val,binding_affinity_val
3h89,val,binding_affinity_val
3h8b,val,binding_affinity_val
3h8c,val,binding_affinity_val
3hec,val,binding_affinity_val
3heg,val,binding_affinity_val
3hek,val,binding_affinity_val
3hl7,test,binding_affinity_test
3hmo,test,binding_affinity_test
3hmp,test,binding_affinity_test
3hpt,val,binding_affinity_val
3hrf,test,binding_affinity_test
3hub,val,binding_affinity_val
3huc,test,binding_affinity_test
3hv7,val,binding_affinity_val
3hy9,test,crossdocked2020_test_receptor
3hyg,test,crossdocked2020_test_ligand_source
3hzy,val,binding_affinity_val
3i02,val,binding_affinity_val
3i25,test,binding_affinity_test
3i4b,test,binding_affinity_test
3i5z,test,binding_affinity_test
3i60,test,binding_affinity_test
3ijh,val,binding_affinity_val
3imc,test,binding_affinity_test
3ime,test,binding_affinity_test
3img,test,binding_affinity_test
3io7,test,binding_affinity_test
3iob,test,binding_affinity_test
3ioc,test,binding_affinity_test
3iod,test,binding_affinity_test
3ioe,test,binding_affinity_test
3iok,test,binding_affinity_test
3iph,test,binding_affinity_test
3ipq,val,binding_affinity_val
3ips,val,binding_affinity_val
3ipu,val,binding_affinity_val
3isj,val,binding_affinity_val
3iub,test,binding_affinity_test
3iue,test,binding_affinity_test
3iux,val,binding_affinity_val
3ivc,test,binding_affinity_test
3ivg,test,binding_affinity_test
3ivx,test,binding_affinity_test
3iw5,val,binding_affinity_val
3iw6,val,binding_affinity_val
3iw7,val,binding_affinity_val
3iwy,val,binding_affinity_val
3jq7,test,binding_affinity_test
3jq8,test,binding_affinity_test
3jq9,test,binding_affinity_test
3jqa,test,binding_affinity_test
3jqb,test,binding_affinity_test
3jqf,test,binding_affinity_test
3jqg,test,binding_affinity_test
3jvr,test,binding_affinity_test
3jvs,test,binding_affinity_test
3jxw,test,binding_affinity_test
3jy0,test,binding_affinity_test
3jy9,test,binding_affinity_test
3jya,test,binding_affinity_test
3jyh,test,crossdocked2020_test_receptor
3k41,test,binding_affinity_test
3k54,val,binding_affinity_val
3k5v,test,binding_affinity_test
3k97,test,binding_affinity_test
3k98,test,binding_affinity_test
3k99,test,binding_affinity_test
3kc1,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
3kcf,test,binding_affinity_test
3kck,test,binding_affinity_test
3kdm,val,binding_affinity_val
3kgu,test,binding_affinity_test
3khv,test,binding_affinity_test
3kjd,test,binding_affinity_test
3kmm,val,binding_affinity_val
3kmx,val,binding_affinity_val
3kmy,val,binding_affinity_val
3kqb,test,binding_affinity_test
3kqc,test,binding_affinity_test
3kqd,test,binding_affinity_test
3kqe,test,binding_affinity_test
3kr8,test,binding_affinity_test
3l1s,test,binding_affinity_test
3l3l,test,binding_affinity_test
3l3m,test,binding_affinity_test
3l3n,test,crossdocked2020_test_receptor
3l8x,val,binding_affinity_val
3lbk,val,binding_affinity_val
3lbl,test,binding_affinity_test
3ldp,val,binding_affinity_val
3ldq,test,binding_affinity_test
3le8,test,binding_affinity_test
3lhj,test,binding_affinity_test
3li4,test,crossdocked2020_test_receptor
3liw,test,binding_affinity_test
3ljj,test,binding_affinity_test
3ljo,test,binding_affinity_test
3lnj,val,binding_affinity_val
3lpi,val,binding_affinity_val
3lpk,val,binding_affinity_val
3lxk,val,binding_affinity_val
3m35,test,binding_affinity_test
3m36,test,binding_affinity_test
3m37,test,binding_affinity_test
3m53,val,binding_affinity_val
3m54,val,binding_affinity_val
3m55,val,binding_affinity_val
3m56,val,binding_affinity_val
3m57,val,binding_affinity_val
3m58,val,binding_affinity_val
3m59,val,binding_affinity_val
3miy,test,binding_affinity_test
3mj1,test,binding_affinity_test
3ms9,test,binding_affinity_test
3mss,test,binding_affinity_test
3myg,test,binding_affinity_test
3n0h,test,binding_affinity_test
3n0t,test,crossdocked2020_test_ligand_source
3n1c,test,binding_affinity_test
3n3g,val,binding_affinity_val
3n5v,test,crossdocked2020_test_ligand_source
3n5z,test,crossdocked2020_test_ligand_source
3nee,val,binding_affinity_val
3neo,val,binding_affinity_val
3nes,val,binding_affinity_val
3new,val,binding_affinity_val
3nex,test,binding_affinity_test
3nfb,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
3nga,test,binding_affinity_test
3nk8,test,binding_affinity_test
3nkk,test,binding_affinity_test
3nmq,test,binding_affinity_test
3npc,val,binding_affinity_val
3nsn,test,binding_affinity_test
3nyn,test,binding_affinity_test
3nyx,val,binding_affinity_val
3o0g,val,binding_affinity_val
3o2m,test,binding_affinity_test
3o8p,val,binding_affinity_val
3o96,test,crossdocked2020_test_ligand_source;crossdocked2020_test_receptor
