method,n_molecules,group,check,n_failed,pct_pass
Pocket2Mol,7772,Valence & connectivity,all_atoms_connected,0,100.0
Pocket2Mol,7772,Valence & connectivity,inchi_convertible,0,100.0
Pocket2Mol,7772,Valence & connectivity,no_radicals,0,100.0
Pocket2Mol,7772,Protein clash & overlap,minimum_distance_to_protein,1305,83.209
Pocket2Mol,7772,Protein clash & overlap,volume_overlap_with_protein,45,99.421
Pocket2Mol,7772,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
Pocket2Mol,7772,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
Pocket2Mol,7772,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
Pocket2Mol,7772,Protein clash & overlap,minimum_distance_to_waters,0,100.0
Pocket2Mol,7772,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
Pocket2Mol,7772,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
Pocket2Mol,7772,Protein clash & overlap,volume_overlap_with_waters,0,100.0
Pocket2Mol,7772,Ring pucker & internal strain,non-aromatic_ring_non-flatness,70,99.099
Pocket2Mol,7772,Ring pucker & internal strain,internal_steric_clash,59,99.241
Pocket2Mol,7772,Ring pucker & internal strain,internal_energy,14,99.82
Pocket2Mol,7772,Ring pucker & internal strain,double_bond_flatness,109,98.598
DiffSBDD,7700,Bond geometry,bond_lengths,1461,81.026
DiffSBDD,7700,Bond geometry,bond_angles,1634,78.779
DiffSBDD,7700,Aromatic ring flatness,aromatic_ring_flatness,8,99.896
DiffSBDD,7700,Valence & connectivity,sanitization,0,100.0
DiffSBDD,7700,Valence & connectivity,all_atoms_connected,0,100.0
DiffSBDD,7700,Valence & connectivity,inchi_convertible,0,100.0
DiffSBDD,7700,Valence & connectivity,no_radicals,0,100.0
DiffSBDD,7700,Protein clash & overlap,minimum_distance_to_protein,1614,79.039
DiffSBDD,7700,Protein clash & overlap,volume_overlap_with_protein,435,94.351
DiffSBDD,7700,Protein clash & overlap,protein-ligand_maximum_distance,1,99.987
DiffSBDD,7700,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
DiffSBDD,7700,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
DiffSBDD,7700,Protein clash & overlap,minimum_distance_to_waters,0,100.0
DiffSBDD,7700,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
DiffSBDD,7700,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
DiffSBDD,7700,Protein clash & overlap,volume_overlap_with_waters,0,100.0
DiffSBDD,7700,Ring pucker & internal strain,non-aromatic_ring_non-flatness,89,98.844
DiffSBDD,7700,Ring pucker & internal strain,internal_steric_clash,498,93.532
DiffSBDD,7700,Ring pucker & internal strain,internal_energy,108,98.597
DiffSBDD,7700,Ring pucker & internal strain,double_bond_flatness,39,99.494
DecompDiff,6427,Bond geometry,bond_lengths,139,97.837
DecompDiff,6427,Bond geometry,bond_angles,248,96.141
DecompDiff,6427,Aromatic ring flatness,aromatic_ring_flatness,0,100.0
DecompDiff,6427,Valence & connectivity,sanitization,0,100.0
DecompDiff,6427,Valence & connectivity,all_atoms_connected,0,100.0
DecompDiff,6427,Valence & connectivity,inchi_convertible,1,99.984
DecompDiff,6427,Valence & connectivity,no_radicals,0,100.0
DecompDiff,6427,Protein clash & overlap,minimum_distance_to_protein,635,90.12
DecompDiff,6427,Protein clash & overlap,volume_overlap_with_protein,22,99.658
DecompDiff,6427,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
DecompDiff,6427,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
DecompDiff,6427,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
DecompDiff,6427,Protein clash & overlap,minimum_distance_to_waters,0,100.0
DecompDiff,6427,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
DecompDiff,6427,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
DecompDiff,6427,Protein clash & overlap,volume_overlap_with_waters,0,100.0
DecompDiff,6427,Ring pucker & internal strain,non-aromatic_ring_non-flatness,121,98.117
DecompDiff,6427,Ring pucker & internal strain,internal_steric_clash,206,96.795
DecompDiff,6427,Ring pucker & internal strain,internal_energy,42,99.347
DecompDiff,6427,Ring pucker & internal strain,double_bond_flatness,118,98.164
FuncBind,7895,Bond geometry,bond_lengths,1822,76.922
FuncBind,7895,Bond geometry,bond_angles,1147,85.472
FuncBind,7895,Aromatic ring flatness,aromatic_ring_flatness,0,100.0
FuncBind,7895,Valence & connectivity,sanitization,0,100.0
FuncBind,7895,Valence & connectivity,all_atoms_connected,0,100.0
FuncBind,7895,Valence & connectivity,inchi_convertible,0,100.0
FuncBind,7895,Valence & connectivity,no_radicals,0,100.0
FuncBind,7895,Protein clash & overlap,minimum_distance_to_protein,322,95.921
FuncBind,7895,Protein clash & overlap,volume_overlap_with_protein,29,99.633
FuncBind,7895,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
FuncBind,7895,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
FuncBind,7895,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
FuncBind,7895,Protein clash & overlap,minimum_distance_to_waters,0,100.0
FuncBind,7895,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
FuncBind,7895,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
FuncBind,7895,Protein clash & overlap,volume_overlap_with_waters,0,100.0
FuncBind,7895,Ring pucker & internal strain,non-aromatic_ring_non-flatness,1773,77.543
FuncBind,7895,Ring pucker & internal strain,internal_steric_clash,550,93.034
FuncBind,7895,Ring pucker & internal strain,internal_energy,403,94.896
FuncBind,7895,Ring pucker & internal strain,double_bond_flatness,0,100.0
TargetDiff,7287,Bond geometry,bond_lengths,83,98.861
TargetDiff,7287,Bond geometry,bond_angles,1643,77.453
TargetDiff,7287,Aromatic ring flatness,aromatic_ring_flatness,2,99.973
TargetDiff,7287,Valence & connectivity,sanitization,0,100.0
TargetDiff,7287,Valence & connectivity,all_atoms_connected,0,100.0
TargetDiff,7287,Valence & connectivity,inchi_convertible,0,100.0
TargetDiff,7287,Valence & connectivity,no_radicals,0,100.0
TargetDiff,7287,Protein clash & overlap,minimum_distance_to_protein,735,89.914
TargetDiff,7287,Protein clash & overlap,volume_overlap_with_protein,26,99.643
TargetDiff,7287,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
TargetDiff,7287,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
TargetDiff,7287,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
TargetDiff,7287,Protein clash & overlap,minimum_distance_to_waters,0,100.0
TargetDiff,7287,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
TargetDiff,7287,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
TargetDiff,7287,Protein clash & overlap,volume_overlap_with_waters,0,100.0
TargetDiff,7287,Ring pucker & internal strain,non-aromatic_ring_non-flatness,652,91.053
TargetDiff,7287,Ring pucker & internal strain,internal_steric_clash,447,93.866
TargetDiff,7287,Ring pucker & internal strain,internal_energy,127,98.257
TargetDiff,7287,Ring pucker & internal strain,double_bond_flatness,1,99.986
VoxBind,7888,Bond geometry,bond_lengths,229,97.097
VoxBind,7888,Bond geometry,bond_angles,435,94.485
VoxBind,7888,Aromatic ring flatness,aromatic_ring_flatness,1,99.987
VoxBind,7888,Valence & connectivity,sanitization,0,100.0
VoxBind,7888,Valence & connectivity,all_atoms_connected,0,100.0
VoxBind,7888,Valence & connectivity,inchi_convertible,0,100.0
VoxBind,7888,Valence & connectivity,no_radicals,0,100.0
VoxBind,7888,Protein clash & overlap,minimum_distance_to_protein,99,98.745
VoxBind,7888,Protein clash & overlap,volume_overlap_with_protein,14,99.823
VoxBind,7888,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
VoxBind,7888,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
VoxBind,7888,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
VoxBind,7888,Protein clash & overlap,minimum_distance_to_waters,0,100.0
VoxBind,7888,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
VoxBind,7888,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
VoxBind,7888,Protein clash & overlap,volume_overlap_with_waters,0,100.0
VoxBind,7888,Ring pucker & internal strain,non-aromatic_ring_non-flatness,1666,78.879
VoxBind,7888,Ring pucker & internal strain,internal_steric_clash,322,95.918
VoxBind,7888,Ring pucker & internal strain,internal_energy,198,97.49
VoxBind,7888,Ring pucker & internal strain,double_bond_flatness,0,100.0
CoDE,7873,Bond geometry,bond_lengths,281,96.431
CoDE,7873,Bond geometry,bond_angles,466,94.081
CoDE,7873,Aromatic ring flatness,aromatic_ring_flatness,0,100.0
CoDE,7873,Valence & connectivity,sanitization,0,100.0
CoDE,7873,Valence & connectivity,all_atoms_connected,0,100.0
CoDE,7873,Valence & connectivity,inchi_convertible,0,100.0
CoDE,7873,Valence & connectivity,no_radicals,0,100.0
CoDE,7873,Protein clash & overlap,minimum_distance_to_protein,129,98.361
CoDE,7873,Protein clash & overlap,volume_overlap_with_protein,7,99.911
CoDE,7873,Protein clash & overlap,protein-ligand_maximum_distance,0,100.0
CoDE,7873,Protein clash & overlap,minimum_distance_to_organic_cofactors,0,100.0
CoDE,7873,Protein clash & overlap,minimum_distance_to_inorganic_cofactors,0,100.0
CoDE,7873,Protein clash & overlap,minimum_distance_to_waters,0,100.0
CoDE,7873,Protein clash & overlap,volume_overlap_with_organic_cofactors,0,100.0
CoDE,7873,Protein clash & overlap,volume_overlap_with_inorganic_cofactors,0,100.0
CoDE,7873,Protein clash & overlap,volume_overlap_with_waters,0,100.0
CoDE,7873,Ring pucker & internal strain,non-aromatic_ring_non-flatness,1769,77.531
CoDE,7873,Ring pucker & internal strain,internal_steric_clash,416,94.716
CoDE,7873,Ring pucker & internal strain,internal_energy,203,97.422
CoDE,7873,Ring pucker & internal strain,double_bond_flatness,0,100.0
